strategy,symbol,trades,exposure,full_ann_pct,oos_sharpe,oos_hold_sharpe,oos_sharpe_gap,is_excess_ann_pct,is_t,is_p,oos_excess_ann_pct,oos_t,oos_p,bonferroni_alpha,bonferroni_t_bar,beats_bonferroni,beats_fdr
Stochastic reversion,NVDA,78.5,0.4315035799522673,-30.53155942146139,0.8146673724501636,1.3108354985960402,-0.4961681261458766,-25.677510724759422,-2.6538718682991016,0.007957403662104623,-37.82423114918269,-2.6993248184349183,0.006948032485565081,0.00014367816091954023,3.8017491435230113,False,False
Bollinger reversion,QQQ,71.0,0.17899761336515513,-12.646990161412889,0.1627740936379183,0.8819074032771961,-0.7191333096392778,-8.245877721920747,-1.9615523674098059,0.049814622488483895,-19.259175218355978,-2.674217798825342,0.007490378766202621,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,GLD,161.0,0.07088305489260144,-9.38785021900227,0.011955244551580245,0.9492956056479085,-0.9373403610963282,-4.027648196148239,-0.8430185108506859,0.3992180912384007,-17.440961382370187,-2.648415007768909,0.008087018111698319,0.00014367816091954023,3.8017491435230113,False,False
Z-score mean reversion,NVDA,72.0,0.1341288782816229,-31.079097486042578,0.9000159728404266,1.3108354985960402,-0.41081952575561365,-21.22436999292797,-1.8300342776822158,0.067244813371649,-45.884736461659806,-2.589530962158448,0.009610677971691572,0.00014367816091954023,3.8017491435230113,False,False
ADX trend,NVDA,77.0,0.2713603818615752,-33.53413357953252,0.8722154236846962,1.3108354985960402,-0.438620074911344,-25.706484819764214,-2.2492944840075086,0.024493766535745864,-45.29431077834811,-2.588189591422123,0.00964818609819007,0.00014367816091954023,3.8017491435230113,False,False
RSI mean reversion,SPY,17.0,0.09021479713603818,-11.62225085865249,0.11335868645426747,0.8195964811093545,-0.706237794655087,-9.39551548050137,-2.3598073515399607,0.018284427571011008,-14.967674679470932,-2.581354091246218,0.009841358274528478,0.00014367816091954023,3.8017491435230113,False,False
Stochastic reversion,QQQ,69.5,0.34343675417661096,-10.889248399579685,0.2938271839872959,0.8819074032771961,-0.5880802192899002,-7.146924571535101,-1.6024368647174614,0.10905903831892294,-16.511676373015845,-2.563197236461466,0.01037131120554946,0.00014367816091954023,3.8017491435230113,False,False
Buy the dip,GLD,81.5,0.2883054892601432,-6.366905058404083,0.3003615966854472,0.9492956056479085,-0.6489340089624613,-1.3260671914917341,-0.3451050672456802,0.7300153841012835,-13.94020687159677,-2.5463776129895876,0.010884737225610674,0.00014367816091954023,3.8017491435230113,False,False
MACD trend,NVDA,173.0,0.5143198090692124,-31.122435710286382,0.870074194809339,1.3108354985960402,-0.4407613037867012,-27.075745915098143,-2.926117851762483,0.00343220890275564,-37.20213991273468,-2.5057662259596376,0.01221863751298602,0.00014367816091954023,3.8017491435230113,False,False
Volatility-targeted trend,JNJ,36.15418047730379,0.6018218887932447,-8.742408393183073,0.05241524047461212,0.6971368036331438,-0.6447215631585317,-5.834030676354931,-1.8402715627364525,0.06572837816816834,-13.111924497019853,-2.505074754794334,0.012242551518382605,0.00014367816091954023,3.8017491435230113,False,False
Walk-forward logistic,JNJ,296.0,0.14439140811455847,-14.924239588255059,-0.24820644689916582,0.6971368036331438,-0.9453432505323096,-13.9474517571407,-3.286352172050845,0.0010149403090866649,-16.39175535602843,-2.491414681803859,0.012723552127685611,0.00014367816091954023,3.8017491435230113,False,False
VWAP reversion,QQQ,62.0,0.15011933174224343,-12.99597832312355,0.2636855812625784,0.8819074032771961,-0.6182218220146176,-9.962616275510019,-2.2491451489609973,0.02450326287303306,-17.5532695714796,-2.48675349137104,0.01289146911058947,0.00014367816091954023,3.8017491435230113,False,False
Sell in May,AAPL,16.5,0.4909307875894988,-17.391603252058875,0.3259896467184829,0.87676848310913,-0.5507788363906472,-15.808841756831992,-2.8596328785801437,0.004241316901878678,-19.769527481745612,-2.4861642635339396,0.01291283472393756,0.00014367816091954023,3.8017491435230113,False,False
Golden cross,JNJ,13.5,0.7269689737470167,-6.433703838096445,0.29582374993899835,0.6971368036331438,-0.40131305369414544,-5.029335082177138,-1.9863639571278309,0.04699292570849911,-8.543612691822284,-2.479518966282806,0.013155973314143976,0.00014367816091954023,3.8017491435230113,False,False
Volatility breakout,NVDA,133.0,0.49761336515513127,-26.100413293607357,0.90182481818325,1.3108354985960402,-0.4090106804127902,-18.982468975566096,-1.9478652862436099,0.051431084430535456,-36.794338000819884,-2.4692594459544592,0.01353930150132543,0.00014367816091954023,3.8017491435230113,False,False
Day of week,GLD,784.0,0.18711217183770884,-10.01817964280707,0.23051151343797374,0.9492956056479085,-0.7187840922099348,-6.162465546008841,-1.3845914303888014,0.1661774333241448,-15.810963963862951,-2.466168163084982,0.013656720229036967,0.00014367816091954023,3.8017491435230113,False,False
Bollinger reversion,NVDA,72.0,0.19689737470167065,-31.382127286782673,0.9709282903641774,1.3108354985960402,-0.3399072082318628,-24.564227245973658,-2.28516191613029,0.0223033353775266,-41.62526862646886,-2.4219118450583283,0.015439095347796528,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,SPY,308.0,0.11909307875894988,-15.953858395056747,-0.5674376964310656,0.8195964811093545,-1.38703417754042,-14.267266703923445,-3.114662450422858,0.0018415551910984096,-18.48777601942966,-2.3988050374913974,0.01644866990511007,0.00014367816091954023,3.8017491435230113,False,False
Regime-filtered trend,JNJ,63.5,0.5095465393794749,-9.958463052199013,-0.05623573025362771,0.6971368036331438,-0.7533725338867715,-6.97450406188074,-1.8992404434851582,0.057532869421603294,-14.441531666685545,-2.3752552118161936,0.017536820128195352,0.00014367816091954023,3.8017491435230113,False,False
SMA crossover,NVDA,44.5,0.6508353221957041,-15.882069959127765,0.9255377618654994,1.3108354985960402,-0.3852977367305408,-6.2049859505824685,-0.7308798914813511,0.464852519457311,-30.420819231225394,-2.3687772411658865,0.01784699890058583,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,MSFT,208.0,0.07517899761336516,-24.270499547573213,-0.6204497622397448,0.758518520439947,-1.3789682826796918,-22.342489345492623,-3.1687017658152192,0.0015312142719356991,-27.167121804581967,-2.347405261636434,0.01890468009654178,0.00014367816091954023,3.8017491435230113,False,False
Walk-forward logistic,NVDA,279.0,0.0945107398568019,-36.50536898073407,1.0420227062973444,1.3108354985960402,-0.2688127922986958,-33.79875452166962,-2.683620915262434,0.0072829633983211295,-40.571758087393036,-2.3445950950795384,0.0190477524891719,0.00014367816091954023,3.8017491435230113,False,False
Golden cross,KO,13.5,0.7214797136038186,-6.82494117716179,0.15103693487806424,0.5980152216433454,-0.4469782867652812,-5.038738018681016,-2.079966718767481,0.03752858560182215,-9.508514022788518,-2.332856768418254,0.01965566402203711,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,QQQ,275.0,0.120763723150358,-19.129652780048076,0.03717343814609531,0.8819074032771961,-0.8447339651311008,-17.36507212367308,-3.2326333777137095,0.0012265486337692533,-21.780740205844438,-2.309517849916068,0.020914862333311746,0.00014367816091954023,3.8017491435230113,False,False
RSI mean reversion,GLD,24.0,0.1727923627684964,-7.815047667841438,0.31709399696592916,0.9492956056479085,-0.6322016086819793,-2.926959748341041,-0.694924000229192,0.48710293108653824,-15.158859566015575,-2.309353010763338,0.020924000253557118,0.00014367816091954023,3.8017491435230113,False,False
52-week high,AAPL,131.0,0.1918854415274463,-22.392619250693638,0.07446338580899332,0.87676848310913,-0.8023050973001367,-19.465211984651035,-2.542142063280489,0.011017538266722582,-26.7907251491985,-2.3070677039541057,0.021051046050529543,0.00014367816091954023,3.8017491435230113,False,False
Sell in May,SPY,16.5,0.4909307875894988,-6.858031101549714,0.37526145736743105,0.8195964811093545,-0.4443350237419234,-4.563856548921684,-1.2936873703203147,0.19577342956058175,-10.304774829064343,-2.3067463487780118,0.02106896476433695,0.00014367816091954023,3.8017491435230113,False,False
Sell in May,QQQ,16.5,0.4909307875894988,-10.379926626072463,0.42120263124192026,0.8819074032771961,-0.4607047720352758,-8.159363257707456,-2.0066430653648593,0.04478768232358177,-13.716077684279151,-2.299720808038862,0.021464042485166424,0.00014367816091954023,3.8017491435230113,False,False
MACD trend,MSFT,175.0,0.5069212410501194,-17.89294640271292,0.16338840052615786,0.758518520439947,-0.5951301199137892,-16.66639917901915,-3.232741731793813,0.0012260835423896221,-19.73569805599239,-2.2638537460965766,0.023583111590727013,0.00014367816091954023,3.8017491435230113,False,False
ADX trend,GLD,60.5,0.2100238663484487,-6.13367215156899,0.4304788502683243,0.9492956056479085,-0.5188167553795842,-1.9198914372636144,-0.443565161122992,0.657356998580727,-12.46441199414845,-2.251500974948328,0.02435382521119145,0.00014367816091954023,3.8017491435230113,False,False
RSI mean reversion,QQQ,21.0,0.10405727923627685,-13.228949455726847,0.29281264059374007,0.8819074032771961,-0.589094762683456,-10.212763308268944,-2.173652367349489,0.029731252420321486,-17.760435812272018,-2.239076757848734,0.0251509222541908,0.00014367816091954023,3.8017491435230113,False,False
Stochastic reversion,JNJ,77.0,0.4331742243436754,-7.175570302043689,0.19560239716971398,0.6971368036331438,-0.5015344064634298,-4.791731660807763,-1.3379116343147317,0.1809252441082876,-10.75702441357795,-2.222468032259478,0.026251692111414204,0.00014367816091954023,3.8017491435230113,False,False
Turn of month,AAPL,200.0,0.2863961813842482,-19.51435083840046,0.3149183105754585,0.87676848310913,-0.5618501725336715,-18.01243235897399,-2.598704345370645,0.009357633063366233,-21.77081737111108,-2.208362862494611,0.027218988450862014,0.00014367816091954023,3.8017491435230113,False,False
Gap fade,SPY,331.0,0.09093078758949881,-17.11919639649474,-0.24690350170433398,0.8195964811093545,-1.0664999828136885,-15.499370856185493,-3.16089632743065,0.001572844686949626,-19.55280525783151,-2.208003357741751,0.027244039100031703,0.00014367816091954023,3.8017491435230113,False,False
VWAP reversion,AAPL,88.0,0.24033412887828162,-19.07937749279112,0.3507467297888444,0.87676848310913,-0.5260217533202856,-18.350783302920842,-2.901981290460114,0.003708106858679061,-20.174009743402667,-2.205193440542209,0.027440523289669283,0.00014367816091954023,3.8017491435230113,False,False
Donchian breakout,NVDA,69.5,0.48711217183770883,-24.49531333380287,1.0045242685274707,1.3108354985960402,-0.30631123006856953,-18.358474015988154,-1.8330821760328948,0.06679035134686195,-33.71523620375748,-2.1999131728195827,0.02781305593314487,0.00014367816091954023,3.8017491435230113,False,False
Turtle breakout,NVDA,69.5,0.48711217183770883,-24.49531333380287,1.0045242685274707,1.3108354985960402,-0.30631123006856953,-18.358474015988154,-1.8330821760328948,0.06679035134686195,-33.71523620375748,-2.1999131728195827,0.02781305593314487,0.00014367816091954023,3.8017491435230113,False,False
Walk-forward logistic,AAPL,280.0,0.20930787589498806,-20.95849535393476,0.25277981268580924,0.87676848310913,-0.6239886704233208,-18.834106710320363,-2.535177281819343,0.01123904316307378,-24.15015451683214,-2.179691772734003,0.029280316828383057,0.00014367816091954023,3.8017491435230113,False,False
