strategy,symbol,sessions,trades,trades_per_session,win_rate,expectancy_pct,expectancy_bps,gross_bps,cost_bps,payoff_ratio,profit_factor,t_stat,p_value,kelly,suggested_size,stdev_pct,trades_needed,avg_bars_held,bonferroni_t_bar,clears_bar
ADX trend,SPY,382,419,1.0968586387434556,0.3317422434367542,0.0020048101479704897,0.20048101479704897,1.7904810147970482,1.59,2.075341714935261,1.0302589227714332,0.10068141268695213,0.919803366914878,0.009743339953001084,0.002435834988250271,0.4075969849752138,324065.0,10.083532219570406,3.5248461468124797,False
ADX trend,QQQ,382,367,0.9607329842931938,0.35149863760217986,-0.023910989893434865,-2.3910989893434866,-0.27109898934348514,2.12,1.4235323151217583,0.7715784397088522,-0.8473531149031004,0.39679832929883974,0.0,0.0,0.540587697223584,,9.88283378746594,3.5248461468124797,False
ADX trend,IWM,382,373,0.9764397905759162,0.3190348525469169,-0.006743574478545984,-0.6743574478545984,1.425642552145401,2.1,2.00816762304381,0.9408344375677694,-0.28156405442990456,0.778277805850843,0.0,0.0,0.46255924345077587,,10.088471849865952,3.5248461468124797,False
ADX trend,AAPL,382,360,0.9424083769633508,0.31666666666666665,-0.03247082758003127,-3.2470827580031267,0.7529172419968735,4.0,1.6894538625639766,0.7829176436272086,-1.2900535111987308,0.1970320794120699,0.0,0.0,0.47756982995891023,,10.51388888888889,3.5248461468124797,False
ADX trend,NVDA,382,324,0.8481675392670157,0.28703703703703703,-0.05448348029944184,-5.448348029944184,-1.4483480299441824,4.0,1.9139256033095584,0.7705414766570949,-1.045994323863645,0.2955636530454169,0.0,0.0,0.9375793185640618,,10.969135802469136,3.5248461468124797,False
ADX trend,AMD,382,340,0.8900523560209425,0.3264705882352941,-0.020398609384228064,-2.0398609384228066,1.9601390615771968,4.0,1.9028609341552913,0.9223474396997263,-0.3131561867041038,0.7541620033895842,0.0,0.0,1.2010996050513474,,10.75,3.5248461468124797,False
ADX trend,TSLA,382,374,0.9790575916230366,0.37433155080213903,0.049207198789152445,4.920719878915245,8.920719878915245,4.0,2.0484004823892112,1.2255387501473913,0.8851859030803719,0.37605637411508885,0.0688891070139524,0.0172222767534881,1.0750531964539378,3743.0,11.037433155080214,3.5248461468124797,False
ADX trend,MSFT,382,346,0.9057591623036649,0.2947976878612717,-0.030616632520678685,-3.0616632520678686,0.9383367479321326,4.0,1.8711142719472844,0.7821871136828812,-1.0632571556269252,0.2876653490470962,0.0,0.0,0.5356204583523679,,11.15028901734104,3.5248461468124797,False
ADX trend,ALL,3056,2903,0.949934554973822,0.3262142611091974,-0.013406202673395925,-1.3406202673395924,1.8297379827465259,,1.8903481052784157,0.9152145479032002,-0.9598708805993756,0.337120203294202,0.0,0.0,0.7525172883318911,,10.539097485359973,3.5248461468124797,False
Adaptive channel,SPY,382,294,0.7696335078534031,0.2585034013605442,0.00326805785509122,0.326805785509122,1.9168057855091223,1.59,3.1789783414540977,1.1082676786720709,0.2048431616769664,0.8376946638238603,0.025253432661390574,0.006313358165347643,0.27355328293771636,54932.0,1.4625850340136055,3.5248461468124797,False
Adaptive channel,QQQ,382,281,0.7356020942408377,0.2597864768683274,-0.012877998941633132,-1.2877998941633133,0.8322001058366869,2.12,2.030681039951827,0.71269094190617,-1.1875891500351374,0.23499531453966216,0.0,0.0,0.1817754899279239,,1.508896797153025,3.5248461468124797,False
Adaptive channel,IWM,382,303,0.7931937172774869,0.33003300330033003,-0.01360749517550387,-1.360749517550387,0.7392504824496127,2.1,1.4867826044232373,0.7324052238538116,-1.0017764093226167,0.31645159333093753,0.0,0.0,0.23644422053994432,,1.6072607260726073,3.5248461468124797,False
Adaptive channel,AAPL,382,221,0.5785340314136126,0.23529411764705882,-0.04243626021633172,-4.243626021633172,-0.24362602163317196,4.0,1.6369150083725865,0.5036661564223343,-3.2258666404747016,0.0012559186156944069,0.0,0.0,0.19556306322143885,,1.502262443438914,3.5248461468124797,False
Adaptive channel,NVDA,382,217,0.5680628272251309,0.35023041474654376,-0.012098710652532933,-1.2098710652532934,2.790128934746706,4.0,1.6146953277665967,0.870332233406109,-0.6174462941613712,0.5369403947980751,0.0,0.0,0.2886488084052673,,1.599078341013825,3.5248461468124797,False
Adaptive channel,AMD,382,223,0.5837696335078534,0.33183856502242154,0.031013200273615364,3.1013200273615364,7.101320027361535,4.0,2.617446643174457,1.2999399435899988,0.8123488147995076,0.4165915077017712,0.07656633751782277,0.019141584379455692,0.5701071188871812,2650.0,1.5919282511210762,3.5248461468124797,False
Adaptive channel,TSLA,382,225,0.5890052356020943,0.3333333333333333,-0.014645503313479327,-1.4645503313479327,2.535449668652068,4.0,1.7582060200264025,0.8791030100132013,-0.5832631305209819,0.5597161784256506,0.0,0.0,0.37664398486145556,,1.6133333333333333,3.5248461468124797,False
Adaptive channel,MSFT,382,249,0.6518324607329843,0.20481927710843373,-0.04559732328712298,-4.559732328712298,-0.559732328712298,4.0,1.4746142540278369,0.37982488361323063,-4.6669073528470575,3.057671164707898e-06,0.0,0.0,0.15417353951965898,,1.4497991967871486,3.5248461468124797,False
Adaptive channel,ALL,3056,2013,0.6587041884816754,0.2866368604073522,-0.013173294353601078,-1.3173294353601077,1.782263212429262,,2.0324636690548137,0.8166654157692392,-1.9477523133121606,0.051444607233025685,0.0,0.0,0.3034467949309854,,1.5394932935916543,3.5248461468124797,False
Bollinger reversion,SPY,382,355,0.9293193717277487,0.6225352112676056,-0.012207595310942254,-1.2207595310942254,0.3692404689057743,1.59,0.5325025129938024,0.8782317565047039,-0.6723604535856823,0.5013542523834205,0.0,0.0,0.34209138611590695,,11.76056338028169,3.5248461468124797,False
Bollinger reversion,QQQ,382,357,0.9345549738219895,0.5966386554621849,-0.010292421478648246,-1.0292421478648246,1.0907578521351755,2.12,0.6173741218748117,0.9131992219398256,-0.5480268467812408,0.5836734688634524,0.0,0.0,0.3548541071718423,,11.456582633053221,3.5248461468124797,False
Bollinger reversion,IWM,382,314,0.8219895287958116,0.5222929936305732,-0.04858589417391514,-4.858589417391514,-2.7585894173915135,2.1,0.6131793914961055,0.670409468035742,-2.3553750513297853,0.018504018895976193,0.0,0.0,0.36552320521821274,,12.331210191082803,3.5248461468124797,False
