strategy,symbol,sessions,trades,trades_per_session,win_rate,expectancy_pct,expectancy_bps,gross_bps,cost_bps,payoff_ratio,profit_factor,t_stat,p_value,kelly,suggested_size,stdev_pct,trades_needed,avg_bars_held,bonferroni_t_bar,clears_bar
ADX trend,SPY,383,415,1.08355091383812,0.3156626506024096,6.039677845950333e-05,0.006039677845950333,1.5960396778459511,1.59,2.169840009508253,1.0008769057942999,0.0029917694799801923,0.9976129168834478,0.0002765638868823528,6.91409717205882e-05,0.4112535832812675,363502921.0,9.925301204819277,3.3840362518645586,False
ADX trend,QQQ,383,364,0.9503916449086162,0.3269230769230769,-0.018860484879515138,-1.8860484879515138,0.23395151204848616,2.12,1.6789956253805451,0.815512160899122,-0.7052835686186278,0.4806337839111794,0.0,0.0,0.5101992073780989,,9.642857142857142,3.3840362518645586,False
ADX trend,IWM,383,373,0.9738903394255874,0.3485254691689008,-0.007313890247383257,-0.7313890247383257,1.3686109752616744,2.1,1.7461591237563536,0.9341592020095719,-0.3062537542728452,0.7594114472728437,0.0,0.0,0.46123412709387973,,10.075067024128685,3.3840362518645586,False
ADX trend,AAPL,383,372,0.9712793733681462,0.2903225806451613,-0.03978185459151787,-3.9781854591517867,0.02181454084821214,4.0,1.7890753901286955,0.731894477779921,-1.6259625310301644,0.10395762639465955,0.0,0.0,0.47189563717945865,,9.870967741935484,3.3840362518645586,False
ADX trend,NVDA,209,177,0.84688995215311,0.2542372881355932,-0.04581630413954007,-4.581630413954007,-0.5816304139540032,4.0,2.400428437427025,0.8183278763955768,-0.5204723837059771,0.6027343711712152,0.0,0.0,1.1711404881640233,,10.254237288135593,3.3840362518645586,False
ADX trend,ALL,1741,1701,0.9770246984491672,0.3133450911228689,-0.019092632943033514,-1.9092632943033514,0.6838172465549672,,1.8476712405697089,0.8431581945408003,-1.3621059548818992,0.1731644492943465,0.0,0.0,0.5781054831122898,,9.920047031158143,3.3840362518645586,False
Adaptive channel,SPY,383,264,0.6892950391644909,0.2689393939393939,-0.0021434086321555582,-0.21434086321555582,1.3756591367844442,1.59,2.529190466932915,0.9304275810996732,-0.21024190794733078,0.8334788726094604,0.0,0.0,0.1656485542247103,,1.4318181818181819,3.3840362518645586,False
Adaptive channel,QQQ,383,251,0.6553524804177546,0.24701195219123506,-0.010170965066471364,-1.0170965066471365,1.1029034933528636,2.12,2.335671823069828,0.7661992223826949,-0.8900080354008074,0.3734615714427112,0.0,0.0,0.18105273751976714,,1.454183266932271,3.3840362518645586,False
Adaptive channel,IWM,383,278,0.7258485639686684,0.28776978417266186,-0.007645009587112828,-0.7645009587112829,1.335499041288717,2.1,2.064027997963393,0.8339507062478357,-0.5709516640922008,0.568032408360784,0.0,0.0,0.22325494610101726,,1.5755395683453237,3.3840362518645586,False
Adaptive channel,AAPL,383,218,0.5691906005221932,0.20642201834862386,-0.04894414421488914,-4.894414421488914,-0.8944144214889131,4.0,1.6550057499380664,0.4304928251283988,-3.970546520503406,7.17079523231412e-05,0.0,0.0,0.18200306316415177,,1.4174311926605505,3.3840362518645586,False
Adaptive channel,NVDA,209,114,0.5454545454545454,0.3333333333333333,-0.0008749314734518278,-0.08749314734518278,3.9125068526548166,4.0,1.980173079349017,0.9900865396745087,-0.0314512033451687,0.974909706962179,0.0,0.0,0.2970223970347775,,1.5701754385964912,3.3840362518645586,False
Adaptive channel,ALL,1741,1125,0.6461803561171741,0.26311111111111113,-0.014234355913431187,-1.4234355913431187,1.122057741990215,,2.061182312779081,0.7359589440079709,-2.3419512247972984,0.019183221720964205,0.0,0.0,0.20386197907118958,,1.4835555555555555,3.3840362518645586,False
