symbol,beat,median_excess,hold_sharpe
TLT,0.8620689655172413,2.1575348728618726,-0.18910665191371395
IWM,0.034482758620689655,-10.615619163077353,0.5090921025975671
GLD,0.0,-9.926258052404267,0.9492956056479085
AAPL,0.0,-15.507254592606179,0.87676848310913
JNJ,0.0,-10.09460386224098,0.6971368036331438
JPM,0.0,-13.507452556991833,0.7018389436765345
MSFT,0.0,-13.740426783618934,0.758518520439947
KO,0.0,-8.856309742144708,0.5980152216433454
NVDA,0.0,-37.20213991273468,1.3108354985960402
QQQ,0.0,-13.716077684279151,0.8819074032771961
SPY,0.0,-10.065778256484744,0.8195964811093545
XOM,0.0,-13.238060406173267,0.6889250736096219
