window,reading,n_start_months,n_independent,frac_beat,ratio_median,ratio_p05,ratio_p95
20y,a_loglin600,886,4,0.5112866817155757,1.0040866861367257,0.7426057272567922,1.13438869067258
20y,c_loglin120,886,4,0.33860045146726864,0.9979098861044294,0.9877776667834707,1.0047762295466587
30y,a_loglin600,766,3,0.52088772845953,1.0088212573389026,0.824175439423833,1.1041257912528126
30y,c_loglin120,766,3,0.13185378590078328,0.9954502777171239,0.990322049715253,1.0044843498161038
