label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,n_symbols,t_R_symclust
K5_band70_imp1.5,2472,0.014250395135819015,-1.0,0.40614886731391586,0.5832682645153436,0.5597127228357024,0.013219310400915667,1.3742005443530665,0.16937943181332393,1.3219310400915667,0.24804568682007627,8.894417475728156,0.20671521035598706,0.5020226537216829,0.2912621359223301,10,0.532145573987534
K5_band70_imp2,693,-0.037661192392503415,-0.73708147220008,0.3924963924963925,-0.8523093003264979,0.3940424454723679,-0.008980652799764571,-0.5300783460753025,0.5960576118067697,-0.8980652799764571,0.25069414875781004,7.32034632034632,0.1717171717171717,0.4963924963924964,0.3318903318903319,10,-0.9963300284379152
K5_band70_imp3,49,-0.00949124467207029,-1.0,0.3673469387755102,-0.05170190514899952,0.9587662191825841,-0.04386270520114873,-0.6080776284672608,0.5431359890626104,-4.3862705201148735,0.22227995657394636,4.73469387755102,0.24489795918367346,0.5510204081632653,0.20408163265306123,10,-1.2727354613505957
K5_band80_imp1.5,1847,0.010861142886562836,-0.7024542851025843,0.41093665403356794,0.3887257350046323,0.6974790429379556,0.008955495749473751,0.8026331467829256,0.4221868038911687,0.8955495749473751,0.25037595556790637,8.925825663237683,0.20032485110990797,0.49431510557661074,0.3053600433134813,10,0.3007409045763167
K5_band80_imp2,551,-0.03063282003393975,-0.7024542851025843,0.3938294010889292,-0.6170244266159541,0.5372186142754183,-0.01930078879459959,-1.034447594797594,0.30092696389496654,-1.930078879459959,0.2567956956708089,7.891107078039927,0.17785843920145192,0.4900181488203267,0.33212341197822143,10,-0.8550812179952731
K5_band80_imp3,49,-0.10083783424475379,-1.0,0.30612244897959184,-0.5909700905493609,0.5545404613816862,-0.09752695241432947,-1.6838674421553892,0.09220728971300285,-9.752695241432948,0.22731200525171483,6.530612244897959,0.1836734693877551,0.5306122448979592,0.2857142857142857,9,-1.6626674804691723
K5_band90_imp1.5,772,0.016579031150033154,-1.0,0.40025906735751293,0.37844583848585606,0.7050994215712338,0.02118198263142051,1.1958402174334026,0.23175891820265138,2.1181982631420513,0.26177259716590984,9.132124352331607,0.20466321243523317,0.5038860103626943,0.2914507772020725,10,0.5707694595508325
K5_band90_imp2,246,-0.016001591616708968,-1.0,0.3943089430894309,-0.2099643902029448,0.8336954660071536,-0.005827103396855233,-0.19742638695625042,0.8434938821566551,-0.5827103396855233,0.25324911033114916,7.865853658536586,0.18699186991869918,0.5040650406504065,0.3089430894308943,10,-0.157849750586707
K5_band90_imp3,24,-0.1698869235469426,-1.0,0.3333333333333333,-0.7296978907973628,0.4655748706698404,-0.08532535459136438,-1.0898014046528663,0.2758006350876301,-8.532535459136438,0.21234630113201444,8.5,0.125,0.5416666666666666,0.3333333333333333,8,-1.2245724531715956
K9_band70_imp1.5,2145,0.00957222866464894,-0.9616375800768148,0.4065268065268065,0.36698093287146805,0.71363324062182,0.013420457339069252,1.270354871248955,0.203958250769539,1.3420457339069252,0.24696228361757874,9.003263403263404,0.20466200466200465,0.4993006993006993,0.29603729603729606,10,0.1848457463634581
