entry,label,hold,excess_pct_IS,t_excess_dateclust_IS,excess_pct_OOS,t_excess_dateclust_OOS,mean_pct,base_rate_pct,mean_net5bps
a2_ret10_topdec,(a) top-decile 10d return,10,0.2530017398384993,1.721107800760458,0.32849133720137147,1.4800795475254571,1.0351578594253668,0.7066665222239953,0.9851578594253667
a3_ret20_topdec,(a) top-decile 20d return,4,0.13082835089083708,1.6927354220220099,0.19119646045782845,1.894747458487102,0.47836134616665466,0.2871648857088262,0.42836134616665467
a3_ret20_topdec,(a) top-decile 20d return,10,0.23856097550285127,1.6658415150939971,0.430692555039624,1.8850602664359801,1.1373590772636193,0.7066665222239953,1.0873590772636192
a3_ret20_topdec,(a) top-decile 20d return,5,0.15023335706877072,1.647117784623337,0.2484164836346886,2.0028245606549997,0.6072080905951744,0.35879160696048584,0.5572080905951744
a3_ret20_topdec,(a) top-decile 20d return,3,0.09398138081636112,1.482281705894462,0.14092462512348647,1.8422619997358662,0.35789375059018047,0.216969125466694,0.30789375059018037
c1_rsi_gt60_INV,(c-inv) RSI(14)<40,5,0.05769335883426252,1.4514914966908188,0.42588993026443644,1.1053003012250862,0.7846815372249223,0.35879160696048584,0.7346815372249224
c1_rsi_gt60_INV,(c-inv) RSI(14)<40,4,0.05557843474234683,1.3512955558189033,0.3411808743217391,0.9304517369989252,0.6283457600305653,0.2871648857088262,0.5783457600305653
c2_rsi_gt70_INV,(c-inv) RSI(14)<30,1,0.030880969487664278,1.3297615505053135,0.29697289861155723,0.21302980000252394,0.37056838254188595,0.07359548393032873,0.32056838254188597
a1_ret5_topdec_INV,(a-inv) bottom-decile 5d return,1,0.03785757136124006,1.3083086962641162,0.019416747989173713,0.6740413580316551,0.09301223191950245,0.07359548393032873,0.04301223191950248
a1_ret5_topdec_INV,(a-inv) bottom-decile 5d return,5,0.1375004212197608,1.3043935784218976,0.12678280115984386,1.2884216326530182,0.4855744081203297,0.35879160696048584,0.43557440812032977
