entry,hold,slippage_bps_per_side,annual_turnover,CAGR,Sharpe,Max drawdown,Total return
EQUAL-WEIGHT UNIVERSE (buy & hold),-,0.0,0.0,0.16210299368751135,0.9342375346178501,-0.3731816470681796,4.788574348798922
(a) top-decile 20d return,3,0.0,61.860045042113825,0.2683844763337577,1.1704088225027056,-0.28232539766286113,15.098479460436195
(a) top-decile 20d return,3,1.0,61.86093733226584,0.26055726729466455,1.142853438125174,-0.28276892763668904,13.974898156484588
(a) top-decile 20d return,3,2.5,61.863206073090446,0.24891735071230414,1.1015620142745512,-0.28343376943558884,12.436147878055506
(a) top-decile 20d return,3,5.0,61.86580982763448,0.22975223779911547,1.0327290370853768,-0.28454063162451193,10.214451376667357
(a) top-decile 20d return,3,10.0,61.87124559728196,0.19232833840239594,0.8951892216172547,-0.28674983441193713,6.814588212913073
(a) top-decile 20d return,5,0.0,47.652729198638106,0.2729233488395686,1.1958475560987736,-0.3011961551297768,15.784819613437563
(a) top-decile 20d return,5,1.0,47.65357925267677,0.2668706796526843,1.1744180215804236,-0.30152984292452256,14.87534359959353
(a) top-decile 20d return,5,2.5,47.65391384456895,0.2578486523207899,1.142285489920687,-0.3020197459338634,13.603103118419067
(a) top-decile 20d return,5,5.0,47.654632978748104,0.24296451729977875,1.0887578005076393,-0.302810694174108,11.706407731763495
(a) top-decile 20d return,5,10.0,47.656875115058206,0.21371723918910668,0.9817052718249132,-0.30449234898216826,8.619575496982067
(a) top-decile 5d return,3,0.0,116.00075086547163,0.1831712746421077,0.8706506870135655,-0.3724543208714335,6.141215682684232
(a) top-decile 5d return,3,1.0,116.00330451307325,0.169539623828884,0.8183385755419703,-0.3734893424688245,5.236641788278906
(a) top-decile 5d return,3,2.5,116.00787435161622,0.1493753137491789,0.7398277354352908,-0.3750312239345672,4.089455567361351
(a) top-decile 5d return,3,5.0,116.01470744964394,0.1165550060435594,0.6090590498918292,-0.37755026406935777,2.6275831209008653
(a) top-decile 5d return,3,10.0,116.0292975687777,0.05364483049179469,0.34729297679611926,-0.38339938363500314,0.8418220834281702
(a-inv) bottom-decile 5d return,3,0.0,121.33354242638706,0.22076771578064847,0.8981822508223912,-0.5042698102610434,9.293355135558993
(a-inv) bottom-decile 5d return,3,1.0,121.33669360114001,0.20606017913621488,0.8514963012016211,-0.5052661236054069,7.933697926825582
(a-inv) bottom-decile 5d return,3,2.5,121.3415476942225,0.18432432510158536,0.7814512382989217,-0.5067434792571694,6.222981496664486
(a-inv) bottom-decile 5d return,3,5.0,121.34832380583424,0.1489375357698719,0.6646335956312148,-0.5092185475281799,4.066844788575748
(a-inv) bottom-decile 5d return,3,10.0,121.36205357153251,0.08130111881517177,0.43104923240737403,-0.5141408329277786,1.4932427748568067
(e) new 20-day high,3,0.0,156.33265632571403,0.14003617994371864,0.828310907040605,-0.22656506639230145,3.626562696403667
(e) new 20-day high,3,1.0,156.3392160928037,0.12236371280867142,0.7401991851459409,-0.23495709241478113,2.8543926213495334
(e) new 20-day high,3,2.5,156.3487579829711,0.09636021486339108,0.6079667891269193,-0.2473798205210569,1.9306853549947647
(e) new 20-day high,3,5.0,156.3648142290973,0.054342979628397625,0.38747380532020004,-0.3020620251769719,0.8561365753796626
(e) new 20-day high,3,10.0,156.39681463379006,-0.024971823197608378,-0.053829770909685465,-0.4471682059354226,-0.25589554820000715
(c) RSI(14)>60,3,0.0,70.39151865751487,0.13557854870537622,0.8509747390557455,-0.3200845318354315,3.419488933314752
(c) RSI(14)>60,3,1.0,70.3931183755295,0.12761343116194568,0.8084698443742377,-0.32059603357713307,3.0704543569384377
(c) RSI(14)>60,3,2.5,70.39556607899917,0.1157731208888979,0.7447346394529545,-0.3213627465749803,2.598003570132957
(c) RSI(14)>60,3,5.0,70.39948144443845,0.09630657750632121,0.6384870378343315,-0.3226391640494629,1.9290100044647422
(c) RSI(14)>60,3,10.0,70.40791313746938,0.058375852846335397,0.4260438221641422,-0.35497854826468633,0.9408348578113388
