variant,round_trip_bps,n,mean_pct,total_pct,win_rate,t,p
ema|premkt|nextopen|pullback|eod,0.0,1924,0.7324343229998892,1409.2036374517868,0.25571725571725573,1.5000514536691651,0.1336010747410148
ema|premkt|nextopen|pullback|eod,20.0,1924,0.5324343229998892,1024.4036374517868,0.2520790020790021,1.0904443649338134,0.27551744803306644
ema|premkt|nextopen|pullback|eod,45.0,1924,0.2824343229998892,543.4036374517868,0.24896049896049896,0.5784355040146233,0.5629701295208518
ema|premkt|nextopen|pullback|eod,90.0,1924,-0.16756567700011094,-322.39636254821346,0.23856548856548856,-0.3431804456399188,0.7314627145255985
ema|premkt|nextopen|pullback|eod,135.0,1924,-0.6175656770001108,-1188.196362548213,0.2312889812889813,-1.2647963952944603,0.20594432391841444
most_trades:ema|rth|nextopen|c20|eod,0.0,2138,-0.0568056689191397,-121.45052014912068,0.18381665107577175,-0.16754484606342085,0.8669413641295001
most_trades:ema|rth|nextopen|c20|eod,20.0,2138,-0.2568056689191399,-549.0505201491211,0.1796071094480823,-0.7574326134336584,0.4487907233676667
most_trades:ema|rth|nextopen|c20|eod,45.0,2138,-0.5068056689191399,-1083.5505201491212,0.17633302151543498,-1.4947923226464546,0.13496865060710173
most_trades:ema|rth|nextopen|c20|eod,90.0,2138,-0.9568056689191398,-2045.650520149121,0.16417212347988774,-2.822039799229487,0.0047719254856781745
most_trades:ema|rth|nextopen|c20|eod,135.0,2138,-1.4068056689191397,-3007.750520149121,0.15715622076707203,-4.14928727581252,3.335120521863466e-05
best_t:ema|premkt|nextopen|pullback|eod,0.0,1924,0.7324343229998892,1409.2036374517868,0.25571725571725573,1.5000514536691651,0.1336010747410148
best_t:ema|premkt|nextopen|pullback|eod,20.0,1924,0.5324343229998892,1024.4036374517868,0.2520790020790021,1.0904443649338134,0.27551744803306644
best_t:ema|premkt|nextopen|pullback|eod,45.0,1924,0.2824343229998892,543.4036374517868,0.24896049896049896,0.5784355040146233,0.5629701295208518
best_t:ema|premkt|nextopen|pullback|eod,90.0,1924,-0.16756567700011094,-322.39636254821346,0.23856548856548856,-0.3431804456399188,0.7314627145255985
best_t:ema|premkt|nextopen|pullback|eod,135.0,1924,-0.6175656770001108,-1188.196362548213,0.2312889812889813,-1.2647963952944603,0.20594432391841444
