period,n_names,share_overnight_beats_intraday,share_intraday_mean_negative,median_overnight_bps,median_intraday_bps
full,40,0.5,0.05,4.1054442757299805,3.7523895559606135
2021_2026,40,0.575,0.225,3.515916969321726,3.0959684805391334
last3y,40,0.575,0.2,4.8140828702830465,3.095287616712385
pre2015,40,0.45,0.15,4.148278919102657,4.12609611585435
