symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.5,5,2015-07-27,27.36414909362793,-3.5269028859956975,5,fail,False,AAPL_136,True
AAPL,0.5,10,2015-07-27,27.36414909362793,-2.042902563970306,10,fail,False,AAPL_136,True
AAPL,0.618,5,2015-07-27,27.36414909362793,-3.5269028859956975,5,fail,False,AAPL_136,True
AAPL,0.618,10,2015-07-27,27.36414909362793,-2.042902563970306,10,fail,False,AAPL_136,True
AAPL,0.786,5,2015-07-27,27.36414909362793,-3.5269028859956975,5,fail,False,AAPL_136,True
AAPL,0.786,10,2015-07-27,27.36414909362793,-2.042902563970306,10,fail,False,AAPL_136,True
AAPL,0.236,5,2015-09-29,24.418371200561523,2.0630890220233677,5,resume,True,AAPL_175,True
AAPL,0.236,10,2015-09-29,24.418371200561523,2.5031910383940925,10,resume,True,AAPL_175,True
AAPL,0.382,5,2015-10-01,24.53479385375977,-0.07299061251633265,5,resume,True,AAPL_175,True
AAPL,0.382,10,2015-10-01,24.53479385375977,2.080687238995771,10,resume,True,AAPL_175,True
AAPL,0.236,5,2015-10-02,24.713912963867188,1.576358116655996,5,resume,True,AAPL_184,True
AAPL,0.236,10,2015-10-02,24.713912963867188,0.59792202147253,10,resume,True,AAPL_184,True
AAPL,0.236,5,2015-10-19,25.01617813110352,3.177280449464992,5,resume,True,AAPL_195,True
AAPL,0.236,10,2015-10-19,25.01617813110352,8.45787508419309,10,resume,True,AAPL_195,True
AAPL,0.382,5,2015-10-19,25.01617813110352,3.177280449464992,5,resume,True,AAPL_195,True
AAPL,0.382,10,2015-10-19,25.01617813110352,8.45787508419309,10,resume,True,AAPL_195,True
AAPL,0.236,5,2015-11-11,26.108135223388672,1.0162708239852325,5,fail,False,AAPL_212,True
AAPL,0.236,10,2015-11-11,26.108135223388672,1.6535870139657627,10,fail,False,AAPL_212,True
AAPL,0.382,5,2015-11-11,26.108135223388672,1.0162708239852325,5,fail,False,AAPL_212,True
AAPL,0.382,10,2015-11-11,26.108135223388672,1.6535870139657627,10,fail,False,AAPL_212,True
AAPL,0.5,5,2015-11-13,25.26041984558105,6.195480353540761,5,fail,False,AAPL_212,True
AAPL,0.5,10,2015-11-13,25.26041984558105,5.305368915944042,10,fail,False,AAPL_212,True
AAPL,0.618,5,2015-11-13,25.26041984558105,6.195480353540761,5,fail,False,AAPL_212,True
AAPL,0.618,10,2015-11-13,25.26041984558105,5.305368915944042,10,fail,False,AAPL_212,True
AAPL,0.786,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_212,True
AAPL,0.786,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_212,True
AAPL,0.236,5,2015-11-30,26.60057830810547,-0.016957824992946957,5,fail,False,AAPL_224,True
AAPL,0.236,10,2015-11-30,26.60057830810547,-4.919719577088333,10,fail,False,AAPL_224,True
AAPL,0.382,5,2015-12-02,26.146358489990234,-0.5675790777243117,5,fail,False,AAPL_224,True
AAPL,0.382,10,2015-12-02,26.146358489990234,-4.248355476005572,10,fail,False,AAPL_224,True
AAPL,0.5,5,2015-12-03,25.90351104736328,0.8420134159002668,5,fail,False,AAPL_224,True
AAPL,0.5,10,2015-12-03,25.90351104736328,-5.399288706933991,10,fail,False,AAPL_224,True
AAPL,0.618,5,2015-12-03,25.90351104736328,0.8420134159002668,5,fail,False,AAPL_224,True
AAPL,0.618,10,2015-12-03,25.90351104736328,-5.399288706933991,10,fail,False,AAPL_224,True
