symbol,trades,engine_mean_pct,openopen_mean_pct,max_abs_diff_bps
AAPL,131,0.5755943997674501,0.5755943997674503,1.1102230246251565e-12
ABBV,114,0.26194510597462173,0.2619451059746219,1.1102230246251565e-12
AMGN,103,0.18574420391543958,0.18574420391543955,1.021405182655144e-12
AMZN,132,0.599371138409303,0.599371138409303,1.1546319456101628e-12
AXP,111,0.35273547786996945,0.35273547786996956,1.0658141036401503e-12
BA,96,0.8744729693144753,0.8744729693144763,1.0880185641326534e-12
BAC,123,0.16709425223539257,0.16709425223539284,1.1102230246251565e-12
BMY,102,-0.11810090863654324,-0.11810090863654346,1.1102230246251565e-12
C,114,0.5909357722731555,0.5909357722731559,1.0880185641326534e-12
CAT,122,0.5351465953036553,0.5351465953036552,1.0658141036401503e-12
CMCSA,108,-0.6996597190651873,-0.699659719065187,1.0658141036401503e-12
COP,99,0.19943934222856555,0.19943934222856605,1.0921819004749977e-12
