level,horizon_days,n_touches,n_symbols,mean_pct,median_pct,std_pct,win_rate,t_naive,p_naive,t_by_symbol,p_by_symbol
0.236,5,7233,46,0.3164404384494564,0.2974494274943451,3.485366386982663,0.5495644960597262,7.721519483169779,1.1546319456101628e-14,6.932559764549583,4.132916231469608e-12
0.236,10,7233,46,0.6609858372227162,0.673205104336061,5.049953429366839,0.5736209041891331,11.131764591574012,0.0,8.506450395280945,0.0
0.382,5,6359,46,0.31237555149594287,0.2974494274943451,3.5790237350314285,0.5496147192954867,6.959962022450337,3.40349970429088e-12,6.452909666009538,1.0972289743449437e-10
0.382,10,6359,46,0.6682994408527437,0.6837958828153967,5.176224932312318,0.5736751061487655,10.295616802009233,0.0,9.33098689806074,0.0
0.5,5,5643,46,0.3569132710511336,0.35461611110283453,3.631402638516562,0.5562643983696616,7.383177626194627,1.545430450278218e-13,6.3076729333416335,2.832618584136526e-10
0.5,10,5643,46,0.6546226438944831,0.6732061132636913,5.266758712559527,0.5716817295764665,9.336898261289647,0.0,9.138885492997229,0.0
0.618,5,5047,46,0.3419445385272379,0.39024803989782253,3.6423341896738264,0.5625123835942144,6.669488584652488,2.566968859696317e-11,5.87816932007838,4.148284826754889e-09
0.618,10,5047,46,0.7014746062595707,0.7128747182538309,5.327539521376875,0.573409946502873,9.354098229060078,0.0,8.271228961877252,0.0
0.786,5,4302,46,0.32052499344440366,0.3622001589450141,3.557467837252709,0.5625290562529056,5.9095732565962935,3.429951211941784e-09,4.732171202806979,2.2213093440193177e-06
0.786,10,4302,46,0.7061586571242654,0.6576525406159939,5.17275473064823,0.5704323570432357,8.953969365143836,0.0,7.484699577023998,7.172040739078511e-14
