start,end,plain_terminal,ovl_terminal,plain_irr,ovl_irr,plain_dd,ovl_dd,ratio,beat,n_triggers,months_saving
1980-01-31,2009-12-31,1660037.6009300689,1017663.2674429023,0.08868699227767807,0.062395459763995076,-0.5047912129058942,-0.43141261772956385,0.6130362751257781,False,0,359
1980-02-29,2010-01-31,1585511.9643311754,972755.9821655877,0.08627047452106651,0.059899949516648565,-0.5047420830789898,-0.43004819879170986,0.6135279985578225,False,0,360
1980-03-31,2010-02-28,1619408.7943438578,989704.3971719289,0.08738451443589867,0.060856695084280155,-0.5046921478028037,-0.429526527290899,0.6111516749993514,False,0,360
1980-04-30,2010-03-31,1698882.1186401462,1029441.0593200731,0.08990042718092939,0.0630295388082629,-0.5046355956140394,-0.4289176788044542,0.6059520245843069,False,0,360
1980-05-31,2010-04-30,1708238.7455133686,1034119.3727566843,0.09018823385571006,0.06327915342019264,-0.5045801661041898,-0.4283296667257156,0.6053716879287301,False,0,360
1980-06-30,2010-05-31,1556560.9346443266,958280.4673221633,0.08529833365347206,0.059067831091165646,-0.5045264993010782,-0.4277710192935774,0.615639546126172,False,0,360
1980-07-31,2010-06-30,1461016.8829113247,910508.4414556624,0.08194479227815021,0.05621761822549143,-0.5044731940573164,-0.42722222266348897,0.6232018617343554,False,0,360
1980-08-31,2010-07-31,1549350.7672311277,954675.3836155639,0.0850531707917972,0.05885839162800566,-0.5044221854171002,-0.4267094941414211,0.6161776944298296,False,0,360
1980-09-30,2010-08-31,1466139.6163944183,913069.8081972091,0.08213058256541839,0.056374683267027326,-0.5043708215875682,-0.42619647914917924,0.622771390928418,False,0,360
1980-10-31,2010-09-30,1582957.8964112115,971478.9482056057,0.08618548966715855,0.05982710213119247,-0.504319829202884,-0.42569301073795796,0.6137111734987301,False,0,360
1980-11-30,2010-10-31,1628785.0745662816,994392.5372831408,0.08768821424353956,0.06111809437049098,-0.5042688692954139,-0.42519444801017237,0.6105118181709339,False,0,360
1980-12-31,2010-11-30,1616140.7471780954,988070.3735890477,0.08727821386680401,0.06076525886390116,-0.5042221051273348,-0.4247563792693698,0.6113764381687014,False,0,360
1981-01-31,2010-12-31,1709473.1418539602,1034736.5709269801,0.09022607634801028,0.06331199004812382,-0.5041714899492906,-0.4242710109090604,0.6052955999090961,False,0,360
1981-02-28,2011-01-31,1734194.756230384,1047097.378115192,0.0909778105489274,0.06396504281072413,-0.5041175118702854,-0.4237454660222967,0.6037945705655723,False,0,360
1981-03-31,2011-02-28,1777655.4591492289,1068827.7295746144,0.09227176566482709,0.0650924871392069,-0.5040636118965529,-0.4232256817913498,0.6012569669074943,False,0,360
1981-04-30,2011-03-31,1762994.724909921,1061497.3624549606,0.09183911864783845,0.06471504721919974,-0.5040106501045393,-0.4227229011129604,0.602099000897009,False,0,360
1981-05-31,2011-04-30,1798932.753139423,1079466.3765697116,0.09289288399726936,0.06563516166011651,-0.5039554620354334,-0.4221956004585853,0.6000593266679211,False,0,360
1981-06-30,2011-05-31,1762594.3351645845,1061297.167582292,0.09182724859686098,0.06470469841302395,-0.5038995412223076,-0.4216635703982782,0.6021221936374782,False,0,360
1981-07-31,2011-06-30,1717500.7853757539,1038750.3926878769,0.09047145986895044,0.06352500297331809,-0.5038420159548535,-0.42111563741244773,0.6048034455254235,False,0,360
1981-08-31,2011-07-31,1667090.294969135,1013545.1474845675,0.08890957152860879,0.06217181074992939,-0.503783331226688,-0.4205577957512706,0.6079725558616683,False,0,360
1981-09-30,2011-08-31,1561037.3458797282,960518.6729398641,0.08544992262355522,0.059197414817975025,-0.5037199676624813,-0.41994513402620903,0.6153079396050966,False,0,360
1981-10-31,2011-09-30,1435947.6792797672,897973.8396398836,0.08102522167304693,0.055441704326534724,-0.503651763377106,-0.4192764515455204,0.6253527566479882,False,0,360
1981-11-30,2011-10-31,1576896.5129801512,968448.2564900756,0.08598320449310659,0.059653786539708875,-0.5035854754974505,-0.41863833900933745,0.6141482643396939,False,0,360
1981-12-31,2011-11-30,1558189.1839172696,959094.5919586348,0.08535352731592738,0.05911500527553404,-0.5035205974312555,-0.41802398935403584,0.615518707136371,False,0,360
