label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,t_R_symclust,n_symbols
model (source as written),5917,0.11351795293816778,-0.10855125106730672,0.45850937975325334,4.669103232118879,3.0251734677300135e-06,0.05432076548382951,7.136941563870734,9.543477119677846e-13,5.432076548382951,0.36333716253400716,12.030927835051546,0.03650498563461214,0.3699509886766943,0.593037011999324,5.162601832602661,10.0
control: fvg_only,14210,0.32937346154723385,-1.0,0.2784658691062632,11.409561315232827,0.0,0.05445421172832581,10.547433533076386,0.0,5.445421172832581,0.10111424904307628,12.416959887403237,0.16861365235749473,0.6937368050668543,0.1375087966220971,9.67814919684606,10.0
control: inverted,6034,-2.4809802951806654,-1.0,0.20434206165064633,-2.536540259050793,0.011195386935500817,-0.08970912938374116,-16.997094976295305,0.0,-8.970912938374116,0.18241409034772174,5.84338747099768,0.022207490884985085,0.6894265826980445,0.2882001988730527,-2.6745199943774947,10.0
control: coinflip,6034,-1.117234540177083,-1.0,0.3297978123964203,-1.843925102054375,0.06519405625111041,-0.014502302037102267,-2.2100541077183835,0.027101407340086148,-1.4502302037102268,0.27687531038210234,8.86145177328472,0.02867086509777925,0.5308253231687107,0.4401723566456745,-1.925552573298185,10.0
BUG DEMO: resolve from the bar after the intrabar fill,5917,0.08795050280588379,-0.10386334551255776,0.4601994253844854,5.26453124664745,1.4054749519765153e-07,0.05410330162077898,7.079864640091137,1.4428458428028534e-12,5.410330162077899,0.36333716253400716,12.065573770491802,0.03667399019773534,0.3670779111035998,0.5641372317052561,4.495971882388536,10.0
"control: open->close, same session+side",5917,,,0.3320939665370965,,,-0.6187059165187905,-27.543021373701926,0.0,-61.870591651879046,,,,,,,
