statistic,real,null_mean,null_sd,null_p05,null_p95,pctile_of_real,p_one_sided_ge
hits3,1.0,0.978,0.501764653764858,0.0,2.0,0.891,0.866
hits12,0.0,0.972,0.43290114738055774,0.0,2.0,0.107,1.0
sharpe,0.4317739599081431,0.6206859420897058,0.12693965023606119,0.41454120086663576,0.8401669362788956,0.075,0.925
cagr,0.05512666611527428,0.06560823286623116,0.012827923524746276,0.044075046683164774,0.08726220085587175,0.21,0.79
spread,0.41831587348203847,0.7639136885758714,3.1637279075426306,-4.903548289914651,5.551350930603328,0.426,0.574
