window,spread_bps,net_bps,trades,symbols,win_rate,mean_r,mean_ret_bps,t_stat,breakeven_bps,target_rate,stop_rate,median_risk_pct
full session   09:30-15:55,2.1,-1.186642429491433,140879,10,0.42527985008411473,0.03408246844191428,0.913357570508567,5.803053758522922,0.913357570508567,0.1870186472078876,0.44010107964991235,0.35962114042541987
open only      09:30-10:30,2.34,1.0716195851164976,12029,10,0.42779948457893424,0.2000789634222355,3.4116195851164974,6.188435450018006,3.4116195851164974,0.34333693573863167,0.5348740543686092,0.16996440368148436
first 15 min   09:30-09:45,3.78,1.6041164594222486,880,10,0.43977272727272726,0.3193539806886501,5.384116459422248,5.8920889909959095,5.384116459422248,0.43977272727272726,0.5602272727272727,0.11027044300908188
recommended    10:30-15:30,1.59,-0.9240615967275462,121631,10,0.42151260780557587,0.01815972115456387,0.6659384032724539,3.85227524307209,0.6659384032724539,0.1789264250067828,0.4451414524257796,0.37523697457017774
midday         11:00-14:00,1.59,-0.8377500297760089,74349,10,0.4111823965352594,0.015868432758781827,0.7522499702239912,3.2173304982963313,0.7522499702239912,0.1965056692087318,0.47745094083309797,0.38794389734407825
close          15:00-15:55,1.79,-0.4784150120188193,19328,10,0.4752173013245033,0.02810679166036064,1.3115849879811807,5.30641481649707,1.3115849879811807,0.08661009933774834,0.261744619205298,0.3241296984186448
