draw,n,mean_pct,median_pct,win_rate,avg_R,t
0,1924,1.3896665230743683,-1.5135515484398732,0.25571725571725573,0.52111588858427,2.7588719329832014
1,1924,0.9174759059159578,-1.5717089622858282,0.24844074844074845,0.29797638849213726,1.9068451735482914
2,1924,1.4729608596439283,-1.5741148615164346,0.25571725571725573,0.36962297111744036,2.9095413094057525
3,1924,1.1919788721367532,-1.5247265519793274,0.25,0.4501088320778848,2.6329481321107395
4,1924,0.7740057718817631,-1.6406279090797948,0.2344074844074844,0.3753812206467452,1.488473588360306
5,1924,1.1442809487925711,-1.614464572719887,0.24584199584199584,0.2176430690663735,2.602646544484569
6,1924,1.3489638889177553,-1.5901565322095246,0.24688149688149688,0.5375139063927489,2.5064378895442903
7,1924,1.112130273165559,-1.601963828818398,0.24376299376299376,0.38589090310407537,2.3040703664212705
8,1924,1.201629191081812,-1.528718133621787,0.2531185031185031,0.2364724384082303,2.488001215009501
9,1924,1.1071844316492971,-1.5856609394973298,0.2515592515592516,0.33536617677882774,2.2984565583923917
10,1924,1.1124682820325746,-1.6358188445196098,0.2448024948024948,0.3330056577101294,2.137809121448894
11,1924,0.8464142783131021,-1.60304878249668,0.23804573804573806,0.28449031420912296,1.7588089557231306
12,1924,1.2229985912435177,-1.5304611815381397,0.2525987525987526,0.3699339138664402,2.7027016776425246
13,1924,1.0200752923688137,-1.5369681459702744,0.2609147609147609,0.31461247676813126,2.3942626801466314
14,1924,1.4767025082658018,-1.5773759274892218,0.25,0.4462106493695727,2.983943514126001
15,1924,0.9421346692248292,-1.6440560568052598,0.23856548856548856,0.2170568244144441,2.1500899767436015
16,1924,1.1314081919949044,-1.6961155860088117,0.24376299376299376,0.26008670987093374,2.308601787146731
17,1924,1.1408395561005036,-1.6049432046860768,0.2531185031185031,1.0693335523588114,2.1120173617028217
18,1924,1.1209712103948155,-1.6002939203220323,0.2390852390852391,0.5854955695626007,2.344388623871145
19,1924,1.0110653412574415,-1.624092276476008,0.2396049896049896,0.31134951022526147,1.962250434218047
20,1924,1.220537340351575,-1.5573373081929687,0.23752598752598753,0.6731951993898022,2.3063070311168063
21,1924,1.256155186911172,-1.5821946951558086,0.25623700623700624,0.35214853502450616,2.6703984803238336
22,1924,0.6554444399107978,-1.508627696881032,0.24532224532224534,0.17517336802701927,1.908683850154472
23,1924,1.0069478964226917,-1.6717749974380691,0.22972972972972974,0.1900247814412782,1.9466149944316469
24,1924,1.2229862513819498,-1.4895475123908986,0.2520790020790021,0.4315392157703196,2.250387657148294
25,1924,1.3139746525833704,-1.589839921583902,0.24896049896049896,0.653333286946221,2.4697664487675657
26,1924,1.012111037484129,-1.6478993088420768,0.2344074844074844,0.49919091074095,1.9250455220364087
27,1924,1.5580836552339057,-1.5316944407348043,0.2520790020790021,0.476152906872986,3.003838547252013
28,1924,1.104779968206758,-1.599524437654254,0.24116424116424118,0.3895536855697867,2.243060326046126
29,1924,1.2202323431398114,-1.4865317941098133,0.25571725571725573,0.47370467109510384,2.3476480367783408
30,1924,1.1490466689234935,-1.5886960016010088,0.25519750519750517,0.3557130875205554,2.540237808122984
31,1924,1.423478666362729,-1.552280832197389,0.25363825363825365,0.33459491851829526,2.739136172813925
32,1924,1.175250530349489,-1.5572862546482658,0.24376299376299376,0.36132028261163773,2.3531913953591195
33,1924,0.9562768892007545,-1.584070821838457,0.2515592515592516,0.3098669674591819,1.9908106415145976
34,1924,1.0836779647101018,-1.644633393512318,0.24792099792099792,0.3308380932146727,2.2281172555248894
35,1924,0.968641269052941,-1.580335925654841,0.24844074844074845,0.2852923399078863,2.2391435764211316
36,1924,1.5625560925234407,-1.5204927073593388,0.2531185031185031,0.5983341580705784,2.925436449024741
37,1924,1.2538359879966898,-1.640135451610858,0.25727650727650725,0.3230458053664443,2.3731041821800023
38,1924,0.9967759249098282,-1.5654608527766511,0.24324324324324326,0.3990528821760782,2.260484575138477
39,1924,1.2258108992343189,-1.5187412101917541,0.2442827442827443,0.8261998214544373,2.269112409325975
40,1924,1.1182189435724743,-1.5044390855079526,0.24896049896049896,0.2963259761684402,2.180024811576301
41,1924,1.2694640802538866,-1.6559370888596325,0.24064449064449064,0.5485732720252248,2.666825683412572
42,1924,1.0796791145513502,-1.677805117084058,0.23648648648648649,0.3189738118523752,2.245218514886259
43,1924,0.8859462219627648,-1.5688522881267597,0.25935550935550933,0.41545239910157883,2.5384680693285837
44,1924,1.0552587623643808,-1.6242560256644722,0.24688149688149688,0.29561210122485254,2.4116994959056983
45,1924,0.9461074294751705,-1.6785049617804415,0.24012474012474014,0.25020816698241055,1.8301618193455462
46,1924,0.7626067328187397,-1.6513848076948001,0.24012474012474014,0.36207315710577453,1.5141283742335616
47,1924,1.1867700395019665,-1.6285403967264966,0.23804573804573806,0.3398512400690243,2.459674059127201
48,1924,1.0500921597457775,-1.5107703559359031,0.24532224532224534,0.26338657288159445,2.051523675461877
49,1924,1.2872421858224448,-1.4874219764567875,0.25467775467775466,0.3072175889035555,2.6214563183233985
50,1924,1.2512312834275725,-1.6197901862728459,0.2396049896049896,0.46934336642503055,2.4990036969489196
51,1924,1.1339521915230328,-1.5729980234601537,0.24168399168399168,0.41208505123275924,2.1454438520061774
52,1924,1.2252301339378004,-1.5514992941293937,0.251039501039501,0.6945492113614179,2.5412716606003674
53,1924,0.914514048882812,-1.6119837136082615,0.24532224532224534,0.6787653831173527,2.5718608083888364
54,1924,1.146035313002605,-1.5346467132725194,0.24584199584199584,0.31601274775809013,2.257357721848959
55,1924,1.219591925583618,-1.6789674200878013,0.25,0.42691374053178427,2.4720101811236117
56,1924,1.0736706804776548,-1.5553875717163823,0.24584199584199584,0.28443478269699757,2.2211401017907195
57,1924,1.0935815847137542,-1.469129897099658,0.2520790020790021,0.46210528768012143,2.222810178348276
58,1924,1.5257600505930535,-1.4291244550784399,0.2609147609147609,0.5343663944712409,3.2409226883172395
59,1924,1.2731321691864779,-1.695619406883303,0.2292099792099792,1.3497629559961002,2.3330269878413814
60,1924,1.3814678709047026,-1.5863467290436362,0.25727650727650725,0.47129164724102374,2.8520162104749414
61,1924,1.089996996363535,-1.5312938804779852,0.24636174636174638,0.4583840380771308,2.4861493519479767
62,1924,1.151669634099471,-1.6061353236562714,0.24532224532224534,0.3298197550869203,2.2242375421048988
63,1924,1.2669628974439073,-1.5376847093323875,0.2525987525987526,0.25783158770364306,2.6240473667990876
64,1924,0.9478092648676302,-1.7291078704814833,0.23648648648648649,0.34073258798778794,1.8151924304201605
65,1924,1.3947220360746635,-1.5653073632020287,0.26559251559251557,0.9190620012512378,2.558901709670176
66,1924,1.3451989610808612,-1.4790669851081961,0.25675675675675674,0.49704008652132575,2.789567317950439
