test,reading,cash,terminal,contributed,months,irr_ann,max_dd,mult,reserve_end,reserve_max,months_saving,n_triggers,beat_plain,ratio
full_history,plain_DCA,0pct,15768291.953071326,561000.0,561,0.11160079589339267,-0.5047912129058942,28.107472287114664,0.0,0.0,0,0,,
full_history,a_loglin600,0pct,14858987.656288845,561000.0,561,0.10984306157811496,-0.48616097860129237,26.486609012992595,9000.0,89750.0,254,2,False,0.9423333675271425
full_history,b_logMA600,0pct,8237752.114160213,561000.0,561,0.09220889118887898,-0.43141261772956385,14.684050114367581,280000.0,280000.0,560,0,False,0.522425138922905
full_history,c_loglin120,0pct,15009937.447543634,561000.0,561,0.11014237237289803,-0.5034867972565031,26.75568172467671,1750.0,23500.0,187,5,False,0.9519063632392993
full_history,d_LOOKAHEAD_fullsample,0pct,15841807.925622242,561000.0,561,0.11173833356330731,-0.4937116477180825,28.23851680146567,37500.000000000015,54250.0,220,1,True,1.0046622660697626
full_history,plain_DCA,tbill,15768291.953071326,561000.0,561,0.11160079589339267,-0.5047912129058942,28.107472287114664,0.0,0.0,0,0,,
full_history,a_loglin600,tbill,15488851.91047563,561000.0,561,0.11107193554497385,-0.4758916887948832,27.60936169425246,9341.135030468353,141349.9555300983,254,5,False,0.9822783568805455
full_history,b_logMA600,tbill,8537131.135956792,561000.0,561,0.09328691310709658,-0.375293580336561,15.217702559637775,579379.0217965787,579379.0217965787,560,0,False,0.541411280395144
full_history,c_loglin120,tbill,15620786.277523806,561000.0,561,0.11132283980497237,-0.5036885501224468,27.84453881911552,1807.460237588577,32289.428038106184,187,18,False,0.9906454246289631
full_history,d_LOOKAHEAD_fullsample,tbill,16021941.129055958,561000.0,561,0.11207258928970276,-0.49063996438659496,28.559609855714722,42532.660763415646,68415.24680553975,220,4,True,1.0160860273731314
