comparison,n_382,n_618,mean_382,mean_618,diff,t,p
fwd5d mean 0.382 - 0.618,6359,5047.0,0.31237555149594287,0.3419445385272379,-0.029568987031295013,-0.43394807924095785,0.664326144842091
fwd10d mean 0.382 - 0.618,6359,5047.0,0.6682994408527437,0.7014746062595707,-0.03317516540682697,-0.3344869131207702,0.7380121646084059
P(resume|touch) 0.382 - 0.618,6359,5047.0,0.4422078943230068,0.2989894987121062,0.14321839561090055,15.66081979638408,0.0
P(resume | touched 0.382 but NOT 0.618),1312,,0.993140243902439,,,,
