n,mean_pct,std_pct,median_pct,win_rate,mean_R,t,p,breakeven_bps,mean_risk_pct,trades_per_yr,symbol,n_min,entry_rule,stop,target,direction_mode,window,bonf_bar_per_symbol,bonf_bar_total
691,-0.04208817238357197,0.5567465291840673,-0.2541899659491984,0.4703328509406657,-0.05601050108235032,-1.9871999747296356,0.046900240665531,-4.208817238357197,0.5389159095590976,121.98537941034316,NVDA,5,close,atr10,1R,long_only,full,3.577254387307179,3.9247896514051925
710,-0.013927697952012678,0.5271434414603731,0.2269384477914252,0.504225352112676,0.017181522604981892,-0.7040114240740356,0.4814256592187487,-1.3927697952012679,0.49915443562671685,125.3395360077332,NVDA,5,close,atr10,1R,short_only,full,3.577254387307179,3.9247896514051925
1401,-0.02781698262882029,0.541935545928527,-0.24050678288610036,0.4875089221984297,-0.01891818358198924,-1.9212392448556788,0.05470155263560961,-2.781698262882029,0.5187655551750932,247.32491541807636,NVDA,5,close,atr10,1R,long_short,full,3.577254387307179,3.9247896514051925
691,-0.04186126437147744,0.6872182195113156,-0.30752698628804304,0.32127351664254705,-0.04656405790117707,-1.6012409945744228,0.10932355230173085,-4.1861264371477445,0.5389159095590976,121.98537941034316,NVDA,5,close,atr10,2R,long_only,full,3.577254387307179,3.9247896514051925
710,0.016739228977589973,0.6984626185485645,-0.30498062970417367,0.36056338028169016,0.08901250852047485,0.6385890343874289,0.5230903167296985,1.6739228977589973,0.49915443562671685,125.3395360077332,NVDA,5,close,atr10,2R,short_only,full,3.577254387307179,3.9247896514051925
1401,-0.012163655322342632,0.6933117946793705,-0.3059564589999319,0.34118486795146324,0.022143552490952026,-0.656681201777034,0.5113859240993843,-1.2163655322342632,0.5187655551750932,247.32491541807636,NVDA,5,close,atr10,2R,long_short,full,3.577254387307179,3.9247896514051925
691,-0.045586748234830166,0.7881481288845441,-0.32622501172391044,0.24746743849493488,-0.04624528354223608,-1.5204417600947577,0.1283999856654563,-4.558674823483017,0.5389159095590976,121.98537941034316,NVDA,5,close,atr10,3R,long_only,full,3.577254387307179,3.9247896514051925
710,0.018675071865035586,0.8290771919511003,-0.32536097368782596,0.27887323943661974,0.09615489462370055,0.6002006871467976,0.5483724957635663,1.8675071865035586,0.49915443562671685,125.3395360077332,NVDA,5,close,atr10,3R,short_only,full,3.577254387307179,3.9247896514051925
1401,-0.013020087085005268,0.809498606009324,-0.3259048288433002,0.2633832976445396,0.02592040275170753,-0.6020282230712793,0.5471553509069125,-1.3020087085005267,0.5187655551750932,247.32491541807636,NVDA,5,close,atr10,3R,long_short,full,3.577254387307179,3.9247896514051925
691,0.033017473812606696,1.262098062915392,-0.34228210290752764,0.1808972503617945,0.17112128744588379,0.6876853390017413,0.49165095443802853,3.3017473812606695,0.5389159095590976,121.98537941034316,NVDA,5,close,atr10,eod,long_only,full,3.577254387307179,3.9247896514051925
710,0.04153431559117367,1.276086241767224,-0.3395232650785096,0.18591549295774648,0.12059254069276772,0.8672737596891279,0.3857920305672047,4.153431559117367,0.49915443562671685,125.3395360077332,NVDA,5,close,atr10,eod,short_only,full,3.577254387307179,3.9247896514051925
