,source quadrant rule,100% SPY buy&hold,59% SPY + cash
Total return,2.745199698051017,9.440991127023494,4.110254792843458
CAGR,0.05512666611527428,0.1000163338264155,0.06853646151380577
Sharpe,0.4317739599081431,0.7189383539763778,0.7982199250461396
Sortino,0.4502599346487168,0.9833192619224069,1.092829657412783
Volatility (ann.),0.1511934217043128,0.14816125566293536,0.08792555809789743
Max drawdown,-0.505198837626939,-0.5078482791821916,-0.3306810666676171
Calmar,0.10911875089463732,0.1969413660069417,0.2072584989653942
Longest drawdown (bars),64.0,52.0,51.0
Final equity,3.745199698051017,10.440991127023494,5.110254792843458
