label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,n_symbols,t_R_symclust
SLC full (structure + level + confirmation),355,0.030531555450454505,-0.43264528507170585,0.4253521126760563,0.48699222166420686,0.6262638431728622,0.006997673057250458,0.30727204546100867,0.7586363116079486,0.6997673057250459,0.24754942851306044,7.118309859154929,0.18309859154929578,0.476056338028169,0.3408450704225352,10,0.4372336318590706
drop S: level + confirmation only,1062,0.034217110949415215,-0.39710265821099255,0.4180790960451977,0.9428435332646328,0.3457609409094906,0.009552031052484651,0.7402900800769214,0.4591239988487166,0.9552031052484651,0.23586434646763438,7.005649717514125,0.1902071563088512,0.4632768361581921,0.3455743879472693,10,0.9275827790487157
drop C: structure + level only,1865,-0.03398269296030685,-1.0,0.3839142091152815,-1.2346912682954916,0.2169454268028841,-0.004581806761049149,-0.4545516677175884,0.6494318129014376,-0.4581806761049149,0.23753217288719422,7.084718498659518,0.1876675603217158,0.510455764075067,0.3018766756032172,10,-1.2082588695132699
placebo: zones relocated at random,952,0.17275456988937288,-1.0,0.40756302521008403,3.735803617583644,0.00018711665852921833,0.04348683887443663,3.4597438148530144,0.0005406895340760443,4.348683887443663,0.15085659409439867,6.445378151260504,0.3634453781512605,0.5787815126050421,0.05777310924369748,10,2.978835057895846
self-test: trade AGAINST the level,882,-0.18016852590471719,-1.0,0.2800453514739229,-4.091892362630384,4.278672542845641e-05,-0.0059786434857468556,-0.9403846434464771,0.3470202963409661,-0.5978643485746855,0.06228311352288236,1.9784580498866213,0.25170068027210885,0.7040816326530612,0.04421768707482993,10,-2.8506439362275473
"control: same levels, random side",626,-0.1305611958933926,-1.0,0.3146964856230032,-2.5532697015884396,0.010671682588017095,-0.0011888052709103406,-0.1072683035493792,0.9145761295268393,-0.11888052709103407,0.09357498580486273,3.071884984025559,0.2364217252396166,0.6421725239616614,0.12140575079872204,10,-2.208258419481518
