symbol,trades,engine_mean_pct,openopen_mean_pct,max_abs_diff_bps
AAPL,51,1.2717540109514873,1.2717540109514864,1.2434497875801753e-12
ABBV,47,0.2835106360032582,0.28351063600325804,1.0880185641326534e-12
AMGN,43,-0.047065541185407296,-0.047065541185407275,1.1546319456101628e-12
AMZN,58,0.7097765106596593,0.7097765106596594,1.0658141036401503e-12
AXP,29,-0.4702144959634818,-0.4702144959634816,1.0658141036401503e-12
BA,40,1.649196087242677,1.6491960872426774,1.0880185641326534e-12
BAC,46,0.7673744964960502,0.7673744964960495,1.0880185641326534e-12
BMY,42,0.6274349715693475,0.6274349715693475,1.0658141036401503e-12
C,41,0.6141864064662073,0.6141864064662087,1.0658141036401503e-12
CAT,55,0.7754313319275691,0.7754313319275703,1.0658141036401503e-12
CMCSA,30,-0.4418018851225963,-0.44180188512259616,9.769962616701378e-13
COP,43,1.9511688743230688,1.9511688743230682,1.0658141036401503e-12
