reading,hold,momentum_mean_pct,mirror_mean_pct,base_pct,momentum_excess,mirror_excess,mirror_wins
(a) top-decile 5d return,2,0.1655620900495778,0.1812049515721036,0.1322595658139715,0.0333025242356062,0.0489453857581321,True
(a) top-decile 5d return,3,0.2300834686048328,0.27947465040727,0.1989316695379762,0.0311517990668565,0.0805429808692937,True
(a) top-decile 5d return,4,0.2939375132185399,0.3710463013272099,0.2652980847307438,0.028639428487796,0.1057482165964661,True
(a) top-decile 5d return,5,0.3620288863767876,0.463247576926529,0.3309433560904034,0.0310855302863842,0.1323042208361256,True
(a) top-decile 10d return,2,0.1553746221105743,0.1322366595353217,0.1322595658139715,0.0231150562966027,-2.2906278649786893e-05,False
(a) top-decile 10d return,3,0.2471958095883684,0.2129444476170335,0.1989316695379762,0.0482641400503922,0.0140127780790572,False
(a) top-decile 10d return,4,0.3318831208529592,0.2820683514280571,0.2652980847307438,0.0665850361222153,0.0167702666973132,False
(a) top-decile 10d return,5,0.4200115372092652,0.3677255323446549,0.3309433560904034,0.0890681811188618,0.0367821762542515,False
(a) top-decile 20d return,2,0.2079099372930751,0.1601112869275138,0.1322595658139715,0.0756503714791035,0.0278517211135422,False
(a) top-decile 20d return,3,0.3156889208461079,0.2423150268178519,0.1989316695379762,0.1167572513081317,0.0433833572798756,False
(a) top-decile 20d return,4,0.425405174515183,0.3298809898343977,0.2652980847307438,0.1601070897844391,0.0645829051036538,False
(a) top-decile 20d return,5,0.5287786245048048,0.404087976684478,0.3309433560904034,0.1978352684144014,0.0731446205940746,False
(b) close>SMA20 & SMA20 rising,2,0.1117375995727684,0.1701285278043734,0.1322595658139715,-0.0205219662412031,0.0378689619904019,True
(b) close>SMA20 & SMA20 rising,3,0.1694505867310758,0.2557593222556441,0.1989316695379762,-0.0294810828069004,0.0568276527176678,True
(b) close>SMA20 & SMA20 rising,4,0.2261542555955162,0.3401744123187013,0.2652980847307438,-0.0391438291352276,0.0748763275879574,True
(b) close>SMA20 & SMA20 rising,5,0.2804258075444745,0.4250750140414003,0.3309433560904034,-0.0505175485459288,0.0941316579509969,True
(b) close>SMA50 & SMA50 rising,2,0.0953581791945789,0.1991514496388271,0.1322595658139715,-0.0369013866193926,0.0668918838248555,True
(b) close>SMA50 & SMA50 rising,3,0.144154993207616,0.2919710634065692,0.1989316695379762,-0.0547766763303601,0.093039393868593,True
(b) close>SMA50 & SMA50 rising,4,0.1912241523563658,0.3836195722984096,0.2652980847307438,-0.074073932374378,0.1183214875676657,True
(b) close>SMA50 & SMA50 rising,5,0.2410613922989363,0.4720427171264007,0.3309433560904034,-0.089881963791467,0.1410993610359973,True
(c) RSI(14)>60,2,0.104882213750755,0.2197350126413237,0.1322595658139715,-0.0273773520632165,0.0874754468273521,True
(c) RSI(14)>60,3,0.1618941813471502,0.3368544742296237,0.1989316695379762,-0.037037488190826,0.1379228046916474,True
(c) RSI(14)>60,4,0.2218427035635245,0.4688789700996849,0.2652980847307438,-0.0434553811672193,0.2035808853689411,True
(c) RSI(14)>60,5,0.2771053690492297,0.5793696773755928,0.3309433560904034,-0.0538379870411736,0.2484263212851893,True
(c) RSI(14)>70,2,0.0881019049412005,0.295697313094344,0.1322595658139715,-0.0441576608727709,0.1634377472803725,True
(c) RSI(14)>70,3,0.1489070048429635,0.4505482327834952,0.1989316695379762,-0.0500246646950127,0.251616563245519,True
(c) RSI(14)>70,4,0.2114703552258897,0.4852267299365282,0.2652980847307438,-0.053827729504854,0.2199286452057843,True
(c) RSI(14)>70,5,0.2650556633773757,0.5682377022506612,0.3309433560904034,-0.0658876927130276,0.2372943461602578,True
(d) MACD bullish crossover,2,0.1613780057532528,0.1073085216688309,0.1322595658139715,0.0291184399392812,-0.0249510441451406,False
(d) MACD bullish crossover,3,0.1906095474087864,0.1584501160303819,0.1989316695379762,-0.0083221221291898,-0.0404815535075942,False
(d) MACD bullish crossover,4,0.1835435302722183,0.2670966816385216,0.2652980847307438,-0.0817545544585254,0.0017985969077777,True
(d) MACD bullish crossover,5,0.2596411301538424,0.3359054363662009,0.3309433560904034,-0.0713022259365609,0.0049620802757975,True
(e) new 20-day high,2,0.0389068993120238,0.2019988217333975,0.1322595658139715,-0.0933526665019477,0.0697392559194259,True
(e) new 20-day high,3,0.0878547012133211,0.3660754297672889,0.1989316695379762,-0.1110769683246551,0.1671437602293127,True
(e) new 20-day high,4,0.165375863296508,0.4478313629069703,0.2652980847307438,-0.0999222214342357,0.1825332781762265,True
