symbol,bucket,n_sessions,median_price,tick_floor_bps,cs_median_bps,cs_p90_bps,ar_median_bps,ar_p90_bps,median_5min_range_bps
SPY,09:30-09:45,1421,465.1,0.2150075252633842,3.7805075463824935,10.596921848250556,0.0,11.824811570239705,15.641293013555213
SPY,09:45-10:30,1421,466.09,0.21455083782102172,2.3435297905845913,6.890780438898609,0.0,7.483658115517091,13.216260557817883
SPY,10:30-15:30,1421,466.43,0.21439444289604015,1.5904142126305567,3.7339083058215814,0.7010647047363002,3.93567395908919,8.62360636784687
SPY,15:30-16:00,1421,466.88,0.21418779986291983,1.792056613716165,6.841836793172847,0.9739597808030223,7.702306501235332,10.824225143883925
SPY,YEAR_2021,252,428.40999999999997,0.23342125533951125,1.3260774395962494,2.806145161679185,1.1264822945016948,3.948971195094901,7.568027033529878
SPY,YEAR_2022,251,403.49,0.24783761679347693,3.0726232625408803,5.626893040148385,1.4876383709626901,6.447050192363321,16.06604379850829
SPY,YEAR_2023,250,428.445,0.233402186978492,1.8181139061718727,3.2612380107898975,0.0,3.0307022262435757,9.262215290355424
SPY,YEAR_2024,252,542.745,0.18424858819519296,1.5604927523065193,2.524754038922875,1.0176915113847889,3.105781952959986,7.766231173857996
SPY,YEAR_2025,250,620.53,0.16115256313151663,1.4344776671597705,3.7728710231542375,0.26850604086792673,3.803171033593914,8.978861780631897
SPY,YEAR_2026,166,721.355,0.1386279986968968,1.581110450632044,2.7586908887915342,0.8260819439873666,3.3580603410253795,8.641753332971902
QQQ,09:30-09:45,1421,393.745,0.25397147900290795,6.002890967677832,17.897563123247394,0.0,20.57350812001493,26.486057116497097
QQQ,09:45-10:30,1421,394.3601,0.25357534902744977,3.506906603388112,9.808390334878176,0.0,10.625456652811959,20.25738798856036
QQQ,10:30-15:30,1421,393.42,0.2541812820903869,2.119078170224231,4.751350542602474,0.8813162628776423,5.13555336776829,11.804826862540363
QQQ,15:30-16:00,1421,393.53,0.2541102330190837,2.213836755430757,7.965516097750455,1.030933916769951,9.15239769675184,13.076168682575329
QQQ,YEAR_2021,252,354.55,0.28204766605556336,1.8310100395016335,3.8149199494399344,1.212491228936892,5.362571047766618,11.08314413131084
QQQ,YEAR_2022,251,302.26,0.33084099781644943,3.860849600666407,6.733521570568142,1.2043458072304,7.808757430843281,21.215617672236675
QQQ,YEAR_2023,250,358.04449999999997,0.27929489211536557,2.2580946833865285,3.644103802894648,0.0,4.340803519038523,12.524643508219357
QQQ,YEAR_2024,252,463.125,0.21592442645074225,2.1217585869267994,3.442269386277925,1.453534500479766,4.734790217195671,11.031686176330435
QQQ,YEAR_2025,250,552.405,0.1810266018591432,1.8069915441458724,4.772080632028891,0.0,4.807357402743319,11.585130383529041
QQQ,YEAR_2026,166,671.515,0.14891700110943165,2.1444290305249574,4.25613159155904,1.5657409562198241,5.595522265150347,12.507273159757526
IWM,09:30-09:45,1421,209.82,0.476598989610142,7.852858609117106,19.76483472303619,0.0,22.699311835146624,33.451596553470964
IWM,09:45-10:30,1421,209.98,0.47623583198399855,3.9594525293239924,11.324494899122152,1.2786762802326246,13.411443171412836,24.150422632396307
IWM,10:30-15:30,1421,209.96,0.47628119641836536,2.098006528903478,4.666345239088683,1.4155783280604937,5.719260746780424,12.907245860780403
IWM,15:30-16:00,1418,209.60000000000002,0.4770992366412213,2.1802948040035486,7.88703091893215,1.8561727633481686,9.493494322620705,13.840303136297694
IWM,YEAR_2021,252,222.83,0.4487726069200736,2.4059826846069505,5.018925652667321,2.500459932829264,7.685812784852317,14.921323928378527
