label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,period,universe,n_names
SPY,overnight,8460,4.010645720822532,10.10682721647278,10.012027898551338,10.582194723266225,0.9550785523017932,5.5338069387915025,3.1335387618014465e-08,0.5647754137115839,1993-02-01,2026-09-10,full,SPY,
SPY,intraday,8460,0.7460087330102588,1.879942007185852,0.7304392948715297,15.181402626155776,0.12383190496159642,0.7174926641046775,0.4730701612819854,0.5237588652482269,1993-02-01,2026-09-10,full,SPY,
SPY,total,8460,4.758396057564951,11.991158065063678,10.815598979407401,18.53941303767714,0.6467927566365977,3.747572632648437,0.00017855414164724692,0.5405437352245863,1993-02-01,2026-09-10,full,SPY,
QQQ,overnight,6918,5.558129995031362,14.006487587479032,13.86210686152605,14.277138152151764,0.9810430800775057,5.140177156220852,2.7447955464054985e-07,0.559410234171726,1999-03-11,2026-09-10,full,QQQ,
QQQ,intraday,6918,-0.0514395001566402,-0.12962754039473331,-2.738333722686293,23.03650777943381,-0.005627048232999113,-0.02948293033363006,0.9764794326443895,0.5235617230413414,1999-03-11,2026-09-10,full,QQQ,
QQQ,total,6918,5.484244522500126,13.820296196700319,10.744182391975784,26.90684548755538,0.5136349485149537,2.6911913274844728,0.0071197349938176835,0.5448106389129806,1999-03-11,2026-09-10,full,QQQ,
IWM,overnight,6610,5.32567168218502,13.420692639106251,13.36052971709767,13.240402486822624,1.0136166670509494,5.191276994644735,2.088566368740885e-07,0.5574886535552194,2000-05-30,2026-09-10,full,IWM,
IWM,intraday,6610,-0.8791427053874107,-2.215439617576275,-4.1487764927710575,20.10022686537993,-0.11021963246554627,-0.5644941139743784,0.5724179048227043,0.5110438729198185,2000-05-30,2026-09-10,full,IWM,
IWM,total,6610,4.426207438747611,11.15404274564398,8.65745470811398,23.838937621882817,0.4678917711251189,2.3963258166347,0.01656036239777503,0.5308623298033283,2000-05-30,2026-09-10,full,IWM,
RSP,overnight,5877,4.73213069824376,11.924969359574275,11.918005303823463,11.4782890155446,1.0389152375780706,5.01715699475079,5.244171337182024e-07,0.5684873234643526,2003-05-02,2026-09-10,full,RSP,
