level,fibonacci,n_touch,P_touch,P_resume_given_touch,z_vs_baserate,excess5d_pct,t5d_bysym,p5d_bysym,excess10d_pct,t10d_bysym,p10d_bysym
0.2,False,7426,0.9497378181353114,0.5218152437382171,-4.159855153353072,-0.012318113930103182,-0.5118424862256821,0.6087612528815951,0.0026520455236966334,0.02874958638781809,0.9770643084747166
0.236,True,7233,0.9250543547768256,0.5091939720724458,-6.2613295772844,-0.0059544975514174096,-0.2472502198996732,0.8047145816339698,0.01760151642380738,0.40026535894523574,0.688961079602044
0.3,False,6885,0.8805473845760328,0.48453159041394334,-10.218931412210734,0.007641321004058263,0.15780033579100863,0.8746141340497611,0.02453477012375549,0.5090933361968343,0.610686802520715
0.382,True,6359,0.8132753549047192,0.4422078943230068,-16.59944989091264,-0.007564732139714519,-0.3179761124046451,0.7505030567905737,0.029817735965802238,0.5633888962898357,0.5731700965110458
0.45,False,5939,0.7595600460416934,0.40326654318908906,-22.06932375876433,0.007708217313523543,0.11885185731582792,0.9053927236119521,0.022918995541694576,0.3529302352038588,0.7241407431303579
0.5,True,5643,0.7217035426525131,0.37249689881268827,-26.15471208498327,0.037902655004300026,0.7179351985459484,0.47279724357924113,0.017977093458105296,0.22009512940917877,0.8257970679799265
0.55,False,5376,0.6875559534467324,0.34188988095238093,-30.03573370446273,0.025546217257526767,0.42852003204151606,0.6682725523764623,0.04717833237479881,0.6185964546730791,0.5361822380236416
0.618,True,5047,0.6454789615040286,0.2989894987121062,-35.223432206178664,0.023619741466295887,0.3408941530651152,0.7331832666478517,0.06614890636512781,0.8770857894426827,0.3804400426427068
0.7,False,4661,0.5961120347870572,0.24200815275691911,-41.663005938115,-0.005702765461359102,-0.2293020118625436,0.8186341898973359,0.06701470706466943,0.8060822581446286,0.42019542076185257
0.786,True,4302,0.550198235068423,0.1803812180381218,-48.14475551641066,0.005536238070850754,-0.010224346893489491,0.9918422936003648,0.07750427862798241,0.7379729632099234,0.4605308789038336
0.85,False,4043,0.5170737946028904,0.1283700222606975,-53.31519977923955,0.010483928975073522,0.07206485940732349,0.942550291616705,0.10280569788624504,1.022712536252359,0.3064437823243735
