window,reading,cash,n_start_months,n_independent,frac_beat,ratio_p05,ratio_median,ratio_mean,ratio_p95,ratio_min,ratio_max,irr_diff_median_bps,dd_plain_median,dd_ovl_median
20y,a_loglin600,0pct,322,2,0.43167701863354035,0.8011062660784694,0.9525973765696001,0.948376430781776,1.0533649843150243,0.7875397682537574,1.0551231165153636,-42.91967140656716,-0.4278856718291515,-0.34217787001521155
20y,b_logMA600,0pct,322,2,0.0,0.5962143491426469,0.6660175286499651,0.682066251913438,0.774320528034594,0.5712788815122862,0.8689444788699847,-352.07724623063206,-0.4278856718291515,-0.2481680796467956
20y,c_loglin120,0pct,322,2,0.0,0.9677876020199653,0.9905610021045401,0.987113292732113,0.9946079985087457,0.9443899407326244,0.9987312922960988,-8.39126425465131,-0.4278856718291515,-0.42159178986703005
20y,d_LOOKAHEAD_fullsample,0pct,322,2,0.7142857142857143,0.9729351301066376,1.0298040292941164,1.0238596284437083,1.0687539387154523,0.9634696952374805,1.070647456394787,26.0030254404231,-0.4278856718291515,-0.33955911681793327
20y,a_loglin600,tbill,322,2,0.6055900621118012,0.8569768514516338,1.027402078308694,1.0012618167919767,1.1117682387978964,0.8415122092269153,1.1151770202173328,22.654890712794362,-0.4278856718291515,-0.32729401597091284
20y,b_logMA600,tbill,322,2,0.003105590062111801,0.6388995890139507,0.7391591301345265,0.7393936278258507,0.8771830404943216,0.628919773376078,1.032216595492686,-262.51369702475546,-0.4278856718291515,-0.2152751625273573
20y,c_loglin120,tbill,322,2,0.16149068322981366,0.9923813284790695,0.9966506218658675,0.9970418868696662,1.0020991658639287,0.9870913287844366,1.0037574048280933,-2.8878682377975196,-0.4278856718291515,-0.42095268550545445
20y,d_LOOKAHEAD_fullsample,tbill,322,2,0.7888198757763976,0.9894773375542202,1.0568789652474373,1.054220783749096,1.1286494501765048,0.9799923716609603,1.1324984630864425,46.66862157063023,-0.4278856718291515,-0.31805774294796374
30y,a_loglin600,0pct,202,1,0.09405940594059406,0.8771536881921128,0.9113820023441442,0.9250391286660132,1.0191457006399873,0.8741463478156385,1.0357552236215055,-48.81328272873575,-0.49511254152063305,-0.4329565698427865
30y,b_logMA600,0pct,202,1,0.0,0.5787310721571228,0.6005730016341528,0.5989613084855828,0.6142586532171008,0.5734576761949515,0.6253527566479882,-272.2408862121295,-0.49511254152063305,-0.3572401424830375
30y,c_loglin120,0pct,202,1,0.0,0.960841455809585,0.9822166387459486,0.9821438600898993,0.9961972321144719,0.9513948377841248,0.99674592877806,-9.312626203700214,-0.49511254152063305,-0.4919289542522141
30y,d_LOOKAHEAD_fullsample,0pct,202,1,1.0,1.007384133840672,1.0175187577580758,1.018668696131666,1.0312030971587633,1.0067230058331018,1.0382756506936195,9.055439381143726,-0.49511254152063305,-0.46072537031644645
30y,a_loglin600,tbill,202,1,0.3712871287128713,0.963808235497585,0.9806415173503475,1.0032392480328398,1.0925210625268833,0.9613467549299309,1.1006197604202483,-10.257851162550624,-0.49511254152063305,-0.40874955663907675
30y,b_logMA600,tbill,202,1,0.0,0.6042001969855417,0.6395736862006245,0.6458285783242742,0.7087408042583174,0.5991194282503505,0.7377695191140309,-238.60779241593687,-0.49511254152063305,-0.3133330935105957
30y,c_loglin120,tbill,202,1,0.2524752475247525,0.9861718034410396,0.9930782339857737,0.9945669067232884,1.0041569340870484,0.985065219559031,1.0060448019085284,-3.6295541046493796,-0.49511254152063305,-0.4918721470275744
30y,d_LOOKAHEAD_fullsample,tbill,202,1,1.0,1.0202031376344383,1.0479258128378328,1.0533130454917647,1.0998324620061266,1.0183942782549826,1.106473025128339,24.38200256941525,-0.49511254152063305,-0.4520224879698105
