variant,n,mean_R,win,t_R,p_R,mean_ret_pct,t_ret,breakeven_bps,median_risk_pct,same_bar_share
model: limit at FVG midpoint,5917,0.11351795293816778,0.45850937975325334,4.669103232118879,3.0251734677300135e-06,0.05432076548382951,7.136941563870734,5.432076548382951,0.36333716253400716,0.05425046476254859
"B: strict fill (low < mid, not <=)",5908,0.10376003225497951,0.456668923493568,4.37701774448795,1.2031418281654993e-05,0.05290583848762083,6.95399977378048,5.290583848762083,0.36347223377855364,0.05399458361543669
C: market entry at next bar open,6553,-0.008968606434895755,0.43552571341370366,-0.6868172440842354,0.4921979017754845,-0.007965861164347476,-0.9755725062560788,-0.7965861164347476,0.4955666386442274,0.02899435373111552
"A: limit at a RANDOM level, same offsets",5930,0.08495788174222428,0.45126475548060707,5.115171743456804,3.1345561968265656e-07,0.04880943227003048,6.3785915736344165,4.880943227003048,0.37429892133392206,0.05581787521079258
