end,gap_headline,extra_capital,gap_same_capital_same_date,value_of_19_extra_deposits,perdollar_2007_trunc,perdollar_2009
2020-12-31,74026.82893864281,19000.0,50905.355174891185,23121.473763751623,2.8452543194571063,2.4892728147375878
2022-12-31,77785.11589863186,19000.0,60257.42048224551,17527.695416386356,2.7352164178753733,2.374393540736179
2024-12-31,122469.22212371661,19000.0,100059.97070063278,22409.251423083828,3.94829015563639,3.42441596348648
2026-08-31,162942.0015226131,19000.0,140727.43811213237,22214.56341048074,4.902608462369566,4.235653779373678
