entry,hold,round_trip_bps,n,mean_pct,total_pct,win_rate,t,p,breakeven_bps
c1_rsi_gt60_INV,5,0,27160,0.5793696773755928,15735.6804375211,0.5621502209131075,18.09036677801192,0.0,57.93696773755927
c1_rsi_gt60_INV,5,2,27160,0.5593696773755928,15192.480437521102,0.5599779086892489,17.46588236039597,0.0,57.93696773755927
c1_rsi_gt60_INV,5,5,27160,0.5293696773755928,14377.680437521101,0.5561855670103093,16.529155733972043,0.0,57.93696773755927
c1_rsi_gt60_INV,5,10,27160,0.4793696773755929,13019.680437521103,0.5498159057437408,14.96794468993217,0.0,57.93696773755927
c1_rsi_gt60_INV,5,20,27160,0.37936967737559274,10303.6804375211,0.5385861561119293,11.84552260185241,0.0,57.93696773755927
e_20d_high_INV,5,0,8599,0.5734570863698167,4931.157485694054,0.5601814164437725,10.290612032003182,0.0,57.345708636981676
e_20d_high_INV,5,2,8599,0.5534570863698168,4759.177485694055,0.5586696127456681,9.931714661071862,0.0,57.345708636981676
e_20d_high_INV,5,5,8599,0.5234570863698168,4501.207485694054,0.5550645423886499,9.393368604674876,0.0,57.345708636981676
e_20d_high_INV,5,10,8599,0.4734570863698167,4071.2574856940537,0.5480869868589371,8.496125177346569,0.0,57.345708636981676
e_20d_high_INV,5,20,8599,0.37345708636981667,3211.3574856940536,0.5352948017211303,6.701638322689955,2.060951409532663e-11,57.345708636981676
c2_rsi_gt70_INV,5,0,5329,0.5682377022506612,3028.138715293773,0.5646462750985175,6.030060818018119,1.638979840734578e-09,56.82377022506612
c2_rsi_gt70_INV,5,2,5329,0.5482377022506614,2921.5587152937746,0.5627697504222181,5.8178235520241754,5.961878546401067e-09,56.82377022506612
c2_rsi_gt70_INV,5,5,5329,0.5182377022506611,2761.6887152937734,0.5592043535372491,5.499467653033253,3.809395798803905e-08,56.82377022506612
c2_rsi_gt70_INV,5,10,5329,0.4682377022506612,2495.2387152937736,0.552073559767311,4.968874488048388,6.734263990892941e-07,56.82377022506612
c2_rsi_gt70_INV,5,20,5329,0.36823770225066127,1962.338715293774,0.5419403265152937,3.907688158078658,9.318346796272081e-05,56.82377022506612
a3_ret20_topdec,5,0,17598,0.5287786245048048,9305.446234035555,0.5494374360722809,14.26510493005603,0.0,52.877862450480485
a3_ret20_topdec,5,2,17598,0.5087786245048049,8953.486234035558,0.5468235026707581,13.725555702119099,0.0,52.877862450480485
a3_ret20_topdec,5,5,17598,0.4787786245048048,8425.546234035555,0.5442095692692351,12.916231860213696,0.0,52.877862450480485
a3_ret20_topdec,5,10,17598,0.42877862450480486,7545.646234035556,0.5385839299920445,11.567358790371367,0.0,52.877862450480485
a3_ret20_topdec,5,20,17598,0.3287786245048048,5785.8462340355545,0.5257983861802478,8.869612650686703,0.0,52.877862450480485
a3_ret20_topdec,4,0,17604,0.425405174515183,7488.8326921652815,0.5456146330379459,12.803029285793428,0.0,42.5405174515183
a3_ret20_topdec,4,2,17604,0.40540517451518315,7136.752692165284,0.5437400590774824,12.201107633082719,0.0,42.5405174515183
a3_ret20_topdec,4,5,17604,0.3754051745151831,6608.6326921652835,0.5391388320836173,11.298225154016647,0.0,42.5405174515183
a3_ret20_topdec,4,10,17604,0.3254051745151831,5728.432692165283,0.5326630311292888,9.793421022239862,0.0,42.5405174515183
a3_ret20_topdec,4,20,17604,0.225405174515183,3968.0326921652813,0.5174392183594637,6.78381275868629,1.170441521480825e-11,42.5405174515183
e_20d_high,3,0,14325,0.08785470121332112,1258.518594880825,0.5232111692844678,3.509464686568892,0.0004490096789702136,8.785470121332112
e_20d_high,3,2,14325,0.06785470121332117,972.0185948808257,0.5189528795811519,2.710539953321548,0.0067173755176606065,8.785470121332112
e_20d_high,3,5,14325,0.03785470121332115,542.2685948808255,0.5119022687609075,1.5121528534505286,0.13049498173481222,8.785470121332112
e_20d_high,3,10,14325,-0.01214529878667886,-173.98140511917467,0.5022687609075044,-0.485158979667836,0.6275635773673653,8.785470121332112
e_20d_high,3,20,14325,-0.1121452987866789,-1606.4814051191752,0.4825130890052356,-4.479782645904566,7.4719087135299844e-06,8.785470121332112
c1_rsi_gt60,3,0,49854,0.1618941813471502,8071.072516880826,0.5387531592249368,12.479254507584335,0.0,16.18941813471502
