index,stop_pct_of_entry
count,1924.0
mean,4.976587890917877
std,4.361274566947051
min,0.0067109589960381395
10%,1.156320488994629
25%,2.173641304347816
50%,3.8427862339364602
75%,6.2937062937062835
90%,9.808570429077461
max,35.040000000000006
