offset,quad,label,archetype,n,mean_pct,t,p
0,Q1,IWO,D,11,13.093823984985153,2.110383216489944,0.034825360928129934
0,Q1,QQQ,C,11,18.057575722405222,3.05313336089463,0.0022646527014980045
0,Q1,SPY,B,11,13.502677654422584,3.7320655229689494,0.0001899160828444657
0,Q1,IWD,A,11,12.749214415767312,3.676701271479039,0.00023626945013921485
0,Q3,IWO,D,3,1.2719188950318836,0.06538727892828633,0.9478656523491014
0,Q3,QQQ,C,3,1.7519727729486474,0.09435626680076868,0.9248261547918772
0,Q3,SPY,B,3,-0.6489040030343822,-0.034459655511978854,0.9725106134645374
0,Q3,IWD,A,3,-0.41907496296131885,-0.020263640835585434,0.9838330602375749
0,Q4,IWO,D,6,9.718219123909778,1.872159852519225,0.0611844915512223
0,Q4,QQQ,C,6,23.316877889300848,3.1960088107511813,0.0013934285664147783
0,Q4,SPY,B,6,14.913414669105837,2.6601343496762606,0.007810948757806635
0,Q4,IWD,A,6,7.677100972548727,1.69124576777127,0.09078987310731446
1,Q1,IWO,D,10,11.63525574135448,1.4762745530323678,0.13987020257373306
1,Q1,QQQ,C,10,15.436081552456429,2.3896440250923066,0.016864709991742277
1,Q1,SPY,B,10,12.141102086080275,3.00278342680894,0.002675227364206778
1,Q1,IWD,A,10,11.531947625723182,3.204849576225179,0.0013513308296806414
1,Q2,IWO,D,4,8.31520640308638,1.362498813374356,0.17304051838385126
1,Q2,QQQ,C,4,11.436760163079885,1.748509383555617,0.08037586218443549
1,Q2,SPY,B,4,8.482329466862456,1.9583640329662317,0.05018731202044835
1,Q2,IWD,A,4,6.4872337110316645,1.2436280310130796,0.21363649465893952
1,Q3,IWO,D,3,13.760356962041467,0.4608549646708037,0.6449026641951647
1,Q3,QQQ,C,3,15.975349202306703,0.5566600463412043,0.5777597195448436
1,Q3,SPY,B,3,8.880301735745444,0.31501775924052344,0.7527481699254222
1,Q3,IWD,A,3,8.7938625979425,0.29357729242572955,0.7690809295548462
1,Q4,IWO,D,5,11.417905544726517,2.0937235983189852,0.036284609511326726
1,Q4,QQQ,C,5,23.908485564670883,3.1109723395302873,0.0018647240548854693
1,Q4,SPY,B,5,17.252799259843282,3.5721732645549418,0.0003540310459615448
1,Q4,IWD,A,5,12.415642136142816,2.462533715813601,0.013795920122715133
2,Q1,IWO,D,8,12.67557017308183,0.9258598587795372,0.3545188144889002
2,Q1,QQQ,C,8,16.43858893982591,1.608638736105964,0.10769535897730576
2,Q1,SPY,B,8,10.504397173872094,1.1138699278154114,0.26533499216512135
2,Q1,IWD,A,8,8.553117841913295,0.8765738081525715,0.3807181706535654
2,Q3,IWO,D,5,17.39025949605827,1.4152643633588717,0.15699099946848705
2,Q3,QQQ,C,5,18.857168498217998,1.7288692055820443,0.08383250659359609
2,Q3,SPY,B,5,17.887419100166877,2.1008522115584167,0.035653941518769994
2,Q3,IWD,A,5,19.643809918095375,2.1621385095693237,0.030607501493616462
2,Q4,IWO,D,7,3.300986477163518,0.5143934194927077,0.6069769590754952
2,Q4,QQQ,C,7,9.826418276512449,3.4785574121734513,0.0005041204369637953
2,Q4,SPY,B,7,6.580701548353867,1.916135975006166,0.05534779024010916
2,Q4,IWD,A,7,4.9445351534170445,0.9614357582644342,0.3363331120585946
3,Q1,IWO,D,8,14.977393426896143,1.2303006058141757,0.21858455755062733
3,Q1,QQQ,C,8,18.85623010803258,2.027857530949357,0.042574790657255335
3,Q1,SPY,B,8,13.06020358996336,1.4791623962891252,0.1390969170602685
3,Q1,IWD,A,8,11.923603212445853,1.2599668030719664,0.20768133803010924
3,Q2,IWO,D,6,8.58342230240468,1.855447978300267,0.0635322814430368
3,Q2,QQQ,C,6,16.46630095707872,3.132352655497309,0.001734114446560131
3,Q2,SPY,B,6,11.00372448563603,2.641716220305758,0.008248713722321721
3,Q2,IWD,A,6,7.781470532812436,1.842664884487121,0.06537795406561231
3,Q3,IWO,D,4,12.508909436504018,1.1153261792453293,0.26471067085398703
3,Q3,QQQ,C,4,12.322454317268072,1.2643561622297774,0.20610221988059418
3,Q3,SPY,B,4,13.808326857969423,2.0896862545320958,0.03664599255778911
3,Q3,IWD,A,4,15.983502840890019,2.5291976384353023,0.011432363048453409
3,Q4,IWO,D,4,8.921995460786375,0.9246314127946389,0.3551576673207082
3,Q4,QQQ,C,4,17.01596081723778,10.421561266053088,0.0
3,Q4,SPY,B,4,10.398476418781671,3.165656889593925,0.0015473319263490382
3,Q4,IWD,A,4,6.051683525482951,0.9805991446206126,0.32679045632519443
4,Q1,IWO,D,8,10.680792167117207,1.01352268380605,0.31081056680917096
4,Q1,QQQ,C,8,15.277095165700599,1.8290323771484454,0.06739475808619866
4,Q1,SPY,B,8,10.669920963480253,1.3711942926967837,0.17031439687718697
4,Q1,IWD,A,8,10.02904451853926,1.2014948566907657,0.22955930041401928
4,Q2,IWO,D,5,11.681299223481478,2.034049564546668,0.04194659836092063
4,Q2,QQQ,C,5,14.742549155532561,2.882235554879734,0.003948644247906419
4,Q2,SPY,B,5,9.446832751687536,1.6281604181718208,0.10349087524497724
4,Q2,IWD,A,5,5.057282702288572,0.8277022569127159,0.4078391406750632
4,Q3,IWO,D,4,17.10923687897215,1.4589419163694581,0.14458109498616079
4,Q3,QQQ,C,4,17.255249256099624,1.8336858785053023,0.06670063601585396
4,Q3,SPY,B,4,16.58866320849013,2.370394700052005,0.01776910466735826
4,Q3,IWD,A,4,18.98217974496363,2.572618504318251,0.010093239539672005
4,Q4,IWO,D,5,8.070404593373155,1.661396703352232,0.09663379946546335
4,Q4,QQQ,C,5,21.243000987637952,3.813285677405854,0.0001371314470999252
4,Q4,SPY,B,5,13.892674538645084,4.457655430813485,8.28609527792068e-06
4,Q4,IWD,A,5,9.511939573894363,1.9740605262148654,0.04837486109499611
5,Q1,IWO,D,9,10.398704510843725,1.1008179633077904,0.2709758920424814
5,Q1,QQQ,C,9,13.135611647998882,1.7118822561138074,0.0869183692631128
5,Q1,SPY,B,9,10.220596347712668,1.49210467169132,0.1356717073831306
5,Q1,IWD,A,9,10.75422797202884,1.5241060906814585,0.1274822114756584
5,Q2,IWO,D,3,6.744401007732763,0.7627966745348536,0.44558466467392543
5,Q2,QQQ,C,3,8.054454940772853,0.9875181119492985,0.3233887083126341
5,Q2,SPY,B,3,5.2923204093266705,0.5377608246442537,0.5907421810562599
5,Q2,IWD,A,3,4.9203187056729805,0.40242048587758683,0.6873745959343085
5,Q3,IWO,D,3,17.150289997941005,1.183644962071319,0.23655363420369468
5,Q3,QQQ,C,3,16.10975014678401,1.684579324645621,0.0920697631148486
5,Q3,SPY,B,3,15.55966712981498,2.675476026367948,0.007462321003249173
5,Q3,IWD,A,3,18.166877275426142,2.33598359025594,0.019492096799396563
5,Q4,IWO,D,7,12.37246875630902,3.4434768131036626,0.0005742858358579461
5,Q4,QQQ,C,7,25.36360750312902,7.335722353803458,2.204902926905561e-13
5,Q4,SPY,B,7,15.486311984658558,7.1261320046066166,1.0322853682964706e-12
5,Q4,IWD,A,7,8.408961140476787,2.7142906041381116,0.006641787429526147
6,Q1,IWO,D,8,5.4184671567682265,0.6945590394091126,0.4873316893345474
6,Q1,QQQ,C,8,11.239323525838861,1.7720487473182553,0.0763864656465627
6,Q1,SPY,B,8,8.430880394683621,1.4582285660808463,0.14477755242398582
6,Q1,IWD,A,8,8.378224125677704,1.3378212784779044,0.1809547037408168
6,Q2,IWO,D,3,4.443038664397,0.7098891167588961,0.47777289986521954
6,Q2,QQQ,C,3,6.183330897262166,0.5529081938046566,0.5803262764092199
6,Q2,SPY,B,3,3.350374325812252,0.42256763417532717,0.6726107449451741
6,Q2,IWD,A,3,3.0674787523275904,0.3401470504524897,0.7337457907765836
6,Q3,IWO,D,4,27.560413030702968,6.992948718028069,2.6916247009012295e-12
6,Q3,QQQ,C,4,21.385132111103307,9.049053284797731,0.0
6,Q3,SPY,B,4,19.529758437238286,8.308862179202645,0.0
6,Q3,IWD,A,4,23.345859964159438,5.418910189403079,5.996342844483138e-08
6,Q4,IWO,D,7,10.399712804750774,3.250510159474577,0.0011519815240195186
6,Q4,QQQ,C,7,23.70829378060957,6.898045787399566,5.272227099339943e-12
6,Q4,SPY,B,7,14.715175645042503,8.809751181934892,0.0
6,Q4,IWD,A,7,7.595106084611033,2.9288035742581733,0.0034026937770996746
7,Q1,IWO,D,7,-0.6668658631881041,-0.10676930512945236,0.914971999202066
7,Q1,QQQ,C,7,6.591535769706512,0.8925663333163875,0.3720894550920171
7,Q1,SPY,B,7,5.358539492586437,0.8996788414351592,0.3682911865072316
7,Q1,IWD,A,7,5.963875013839242,0.9757043191355832,0.32921101125226526
7,Q2,IWO,D,3,15.303208822174842,2.8850634090621203,0.0039133483277487
7,Q2,QQQ,C,3,14.244014344888164,1.835041558397689,0.06649953203826575
7,Q2,SPY,B,3,12.397789129984423,5.601618469086593,2.123595721492677e-08
7,Q2,IWD,A,3,13.838757927756209,9.109999364679725,0.0
7,Q3,IWO,D,5,24.259643037306112,5.135460941585234,2.814533315298462e-07
7,Q3,QQQ,C,5,21.005730087957204,4.992328472255676,5.965568656840503e-07
7,Q3,SPY,B,5,18.617706123006958,4.430219538584674,9.413720408080195e-06
7,Q3,IWD,A,5,21.496261109516777,3.870380973410381,0.00010866540290765947
7,Q4,IWO,D,8,10.487354627872016,2.26022277616733,0.023807427967381667
7,Q4,QQQ,C,8,22.985382416282995,3.360600599331213,0.0007777320202468907
7,Q4,SPY,B,8,13.34007116287963,3.1354975651021437,0.0017156285256505477
7,Q4,IWD,A,8,6.241970427597847,1.637324770979366,0.10156262776324487
8,Q1,IWO,D,11,6.8023001473607225,1.2009841685906513,0.22975734248762114
8,Q1,QQQ,C,11,13.147665738924028,1.944842652680537,0.051793918852620635
8,Q1,SPY,B,11,8.034578625576632,1.5380277404481077,0.12404183220759535
8,Q1,IWD,A,11,6.739114805422567,1.1766187037412341,0.23934772904402424
8,Q3,IWO,D,3,15.717060739990437,1.5757313488204792,0.11508772958537072
8,Q3,QQQ,C,3,14.302243058705214,4.325859090761791,1.5193853054817907e-05
8,Q3,SPY,B,3,11.687922100979575,2.1451259488574537,0.03194277823523395
8,Q3,IWD,A,3,15.34200263258614,1.7565417340406793,0.07899595188500452
8,Q4,IWO,D,7,14.47709912897556,3.1464498964509495,0.0016526557443274914
8,Q4,QQQ,C,7,25.37926568859733,5.921303305335617,3.1940015077225326e-09
8,Q4,SPY,B,7,18.84595613169658,5.309885131306706,1.0969434938168376e-07
8,Q4,IWD,A,7,13.282221717620638,4.75454864326172,1.9889025217878498e-06
9,Q1,IWO,D,9,4.4177837011023025,0.5525424851436486,0.5805767348498969
9,Q1,QQQ,C,9,12.154558826151934,1.2683407017729122,0.20467630785193647
9,Q1,SPY,B,9,6.069803724089776,0.8354379224653214,0.4034711854148749
9,Q1,IWD,A,9,3.847203798284024,0.5317240234419494,0.5949171507632061
9,Q3,IWO,D,5,16.741680880203646,2.672113230373627,0.00753752096598892
9,Q3,QQQ,C,5,18.01702161267698,3.5367403818068066,0.00040509766549257087
9,Q3,SPY,B,5,16.15815034731066,4.461869270867185,8.124778914542219e-06
9,Q3,IWD,A,5,15.430032385059897,4.184231348312191,2.861326030623168e-05
9,Q4,IWO,D,7,14.951732204316109,2.5559933632356544,0.010588513838534652
