start,n,terminal,per_dollar,irr
2005-01,260,1312395.0776645956,5.04767337563306,0.13173710001731487
2005-02,259,1302855.477150712,5.030330027608926,0.1320210082891078
2005-03,258,1293511.5111785817,5.013610508444115,0.13231557809990568
2005-04,257,1284000.1683560016,4.996109604498061,0.1325997253905471
2005-05,256,1274303.4260354545,4.977747757950994,0.1328719538973393
2005-06,255,1264904.396078239,4.960409396385251,0.13316100675204234
2005-07,254,1255517.029540117,4.9429804312603025,0.1334499539832712
2005-08,253,1246465.1648424391,4.926739781985925,0.13375881354347974
2005-09,252,1237329.870941799,4.910039170403964,0.1340620037624649
2005-10,251,1228266.5745732284,4.893492328977006,0.13436913506175108
2005-11,250,1219048.550319611,4.8761942012784445,0.13466574579799895
2005-12,249,1210164.9635865178,4.860100255367541,0.13498320655877993
2006-01,248,1201283.3894349926,4.843884634818519,0.13530036514968313
2006-02,247,1192630.7079470127,4.828464404643777,0.1356322724880572
2006-03,246,1183999.9765888192,4.813008034913899,0.13596547014929095
2006-04,245,1175474.9342901602,4.797856874653715,0.13630566573572245
2006-05,244,1167062.0794016747,4.783041309023257,0.13665351066834153
2006-06,243,1158398.2628237167,4.767071040426818,0.13698385352111653
2006-07,242,1149745.474388387,4.751014356976806,0.13731452478624795
2006-08,241,1141144.8817855858,4.735041003259692,0.13764843361008627
2006-09,240,1132742.7457578406,4.719761440657669,0.1379962570127713
2006-10,239,1124550.5232054756,4.7052323146672625,0.1383593010044437
2006-11,238,1116616.2394621056,4.691664871689519,0.13874163832271025
2006-12,237,1108828.4694697305,4.678601137003082,0.13913553314651317
2007-01,236,1101148.3173783377,4.6658827007556685,0.13953837918128653
2007-02,235,1093581.1598466074,4.653536850411095,0.13995084556693627
2007-03,234,1085861.994994045,4.640435876042927,0.14035255969677074
2007-04,233,1078227.7257084316,4.627586805615586,0.14076174193076163
2007-05,232,1070916.4645514095,4.616019243756075,0.1411976014375087
2007-06,231,1063850.8787698336,4.605415059609669,0.14165477896932654
2007-07,230,1056664.9697983048,4.594195520862195,0.14210405053617303
2007-08,229,1049249.7936004428,4.581876827949532,0.14253603868227582
2007-09,228,1041944.0856208178,4.5699302000913065,0.14297838478319447
2007-10,227,1034900.8113214002,4.55903441110749,0.14344434955314256
2007-11,226,1027967.0100366989,4.548526593082738,0.14392159322952014
2007-12,225,1020730.2170164799,4.536578742295466,0.14437464706182634
2008-01,224,1013443.0885143823,4.5242995022963495,0.14482472200299012
2008-02,223,1005689.5384796318,4.509818558204627,0.14523459045492793
2008-03,222,997675.415600947,4.49403340360787,0.14562115168075884
2008-04,221,989625.3871041394,4.477942928073029,0.14600392573648047
2008-05,220,981948.63290582,4.463402876844636,0.14642059589370637
2008-06,219,974369.2410542176,4.449174616685925,0.14684654999711655
2008-07,218,966090.1869447095,4.431606362131695,0.1472062528884488
2008-08,217,957741.6925075749,4.413556186670852,0.14755766000853066
2008-09,216,949512.2241280116,4.3958899265185725,0.14791880170750527
2008-10,215,940479.1902326103,4.374321815035397,0.14819838221724124
2008-11,214,929623.1653613554,4.344033482996988,0.14828955463145044
2008-12,213,917928.0360927155,4.309521296209931,0.14828376473384908
2009-01,212,906356.9287209248,4.2752685317024754,0.14827678136183708
2009-02,211,893722.9783535383,4.235653925846153,0.14814175499721793
2009-03,210,879582.0276712865,4.188485846053745,0.14782251438773142
2009-04,209,866582.1406945945,4.146326032031553,0.1476033820113185
2009-05,208,854716.473050977,4.1092138127450815,0.1474904554951073
2009-06,207,843481.9251794806,4.074791909079616,0.14743207287842708
