label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,n_symbols,t_R_symclust
SLC as written IN SAMPLE,215,-0.03445952482325224,-0.5129965607600471,0.413953488372093,-0.44657349579241495,0.6551830358375961,-0.009185282158647955,-0.3097173272779152,0.7567759250090682,-0.9185282158647955,0.2649721255438898,6.572093023255814,0.16279069767441862,0.48372093023255813,0.35348837209302325,10,-0.5695101614538511
SLC as written OUT OF SAMPLE,140,0.13033928587078986,-0.3778504887989263,0.44285714285714284,1.232327329170648,0.21782683495467015,0.03185006856738017,0.8964170605967753,0.3700300588357708,3.1850068567380174,0.23327215000551882,7.957142857142857,0.21428571428571427,0.4642857142857143,0.32142857142857145,10,0.8050209349657418
best-in-sample [K14_band90_imp1.5] IN SAMPLE,480,0.04600134481482464,-0.6463808339660366,0.425,0.8236077482303522,0.41016247198127465,0.037990944950790174,1.4839788622007728,0.13781452839505426,3.7990944950790175,0.28167201963753075,7.95,0.2125,0.4875,0.3,10,0.8840702866624668
best-in-sample [K14_band90_imp1.5] OUT OF SAMPLE,294,0.038760720371511605,-0.5191349288151086,0.41156462585034015,0.5490865288722152,0.5829460695252688,0.02520245420655197,1.02184908339492,0.3068523342107392,2.520245420655197,0.24605816661733731,9.829931972789115,0.19727891156462585,0.48639455782312924,0.3163265306122449,10,0.7754643964521524
