sample,entry,label,hold,n,mean_pct,median_pct,win_rate,std_pct,t_pooled,t_dateclust,base_rate_pct,excess_pct,n_days,p_pooled,p_dateclust,t_excess_welch,p_excess_welch,t_excess_dateclust,p_excess_dateclust,mean_net5bps,t_net5bps_pooled,t_net5bps_dateclust,breakeven_bps,signals_per_day
full,BASE_RATE,"unconditional (any symbol, any day)",1,173283,0.06654572939465868,0.07553240250404158,0.5246504273356302,1.9513282993228283,14.196059983471256,3.4738633432217627,0.06654572939465868,0.0,,,,,,,,,,,,
full,a1_ret5_topdec,(a) top-decile 5d return,1,17622,0.08459551853883479,0.07785824442272382,0.5228691408466689,2.298578377991074,4.885574476960552,3.1218904075347758,0.06654572939465868,0.018049789144176112,2937.0,1.0312771276943522e-06,0.0017969381706222087,1.117650164516351,0.26371643489274166,0.9069573187311731,0.3644293681793451,0.034595518538834816,1.997966148915517,1.2767037703126003,8.459551853883479,5.9959169785641375
full,a1_ret5_topdec_INV,(a-inv) bottom-decile 5d return,1,14685,0.09544973789292065,0.08630330445478229,0.5236636023152877,2.4437283598839157,4.733242840565188,3.024118885526617,0.06654572939465868,0.02890400849826197,2937.0,2.209608623182646e-06,0.002493584283269401,1.5239922414596183,0.12751064931630163,1.4150378589114894,0.15705739613790115,0.045449737892920686,2.25380028521992,1.4399768269495716,9.544973789292065,4.996597482136782
full,a2_ret10_topdec,(a) top-decile 10d return,1,17622,0.07552204335114135,0.07032797674562108,0.520769492679605,2.3134957542189527,4.333438360963266,2.7443061764949643,0.06654572939465868,0.00897631395648267,2937.0,1.4679839543507711e-05,0.006063895159090338,0.552532157588253,0.5805838084920674,0.454381347720581,0.64955437498989,0.025522043351141378,1.464449276005084,0.9274153359391453,7.552204335114135,5.9959169785641375
full,a2_ret10_topdec_INV,(a-inv) bottom-decile 10d return,1,14685,0.06504698150022294,0.0648751450409879,0.5179434797412326,2.448230710161031,3.219673121677184,2.0220766236259324,0.06654572939465868,-0.0014987478944357424,2937.0,0.0012833684317083982,0.04316843658375635,-0.07888643581227164,0.9371229522705309,-0.06997523134425994,0.9442133738251233,0.015046981500222968,0.7447903158807713,0.46775651761224946,6.504698150022294,4.996597482136782
full,a3_ret20_topdec,(a) top-decile 20d return,1,17622,0.10115304840626893,0.09527000645666028,0.5279763931449325,2.2966055886408747,5.846825825614516,3.681475164355253,0.06654572939465868,0.03460731901161025,2937.0,5.010416526118888e-09,0.000231888380690215,2.1445868721804926,0.03198589284867848,1.7259779266504085,0.08435138390973362,0.05115304840626896,2.95673703554096,1.8617202373613306,10.115304840626893,5.9959169785641375
full,a3_ret20_topdec_INV,(a-inv) bottom-decile 20d return,1,14685,0.0754024132652743,0.06616981899936203,0.5184201566224038,2.491876475142637,3.666871669285101,2.360980846234864,0.06654572939465868,0.008856683870615625,2937.0,0.00024553594043830174,0.01822667197454786,0.45849040691780046,0.646600152995054,0.4183349465016485,0.6757022423303192,0.025402413265274322,1.2353369806109957,0.7953937887433069,7.540241326527431,4.996597482136782
full,b1_ma20_up,(b) close>SMA20 & SMA20 rising,1,84289,0.05738758716053702,0.06870319000282787,0.5237219566016919,1.7575571339555982,9.479686263310018,2.863357225360041,0.06654572939465868,-0.00915814223412166,2915.0,0.0,0.004191776794585822,-1.910913238764807,0.05601573146933703,-0.7640242514585699,0.4448527906663584,0.007387587160537052,1.2203337339979083,0.31973792841891496,5.7387587160537015,28.67948281728479
full,b1_ma20_up_INV,(b-inv) close<SMA20 & SMA20 falling,1,59826,0.08893951746878256,0.09509716380226019,0.5291177748804867,2.2092827115005136,9.846649025465462,3.018171388849475,0.06654572939465868,0.022393788074123885,2930.0,0.0,0.002543050371045741,3.2587464360165597,0.0011190563765266504,0.0415690296268965,0.9668422626692057,0.03893951746878258,4.311061861457295,0.8245227834498041,8.893951746878257,20.355903368492683
full,b2_ma50_up,(b) close>SMA50 & SMA50 rising,1,89233,0.049034418146171994,0.06849822121013371,0.5244136137975861,1.745669922269743,8.39076666527425,3.028584749078282,0.06654572939465868,-0.017511311248486684,2920.0,0.0,0.0024570215083006275,-3.82578744534743,0.00013035473044142876,-0.05001398102558849,0.9601112470180326,-0.0009655818538279786,-0.165230308383419,0.5799970748839698,4.903441814617199,30.361687648860155
