symbol,date,bucket,time,n_quotes,median_bps,mean_bps,p90_bps,p99_bps,median_abs_spread,median_mid,median_bid_size,median_ask_size
AAPL,2021-03-10,10:30-15:30,14:30:00,4185,0.8312897460402265,0.8019261281869627,0.8317737575383753,1.6622340425528608,0.010000000000005116,120.295,6.0,7.0
AMD,2021-03-10,10:30-15:30,14:30:00,2714,1.2806556957168616,1.5278144047147955,2.5604916143912724,2.56213169356854,0.010000000000005116,78.11250000000001,4.0,4.0
IWM,2021-03-10,10:30-15:30,14:30:00,2173,0.8799331250829439,1.0293573426565612,1.3195803734412954,1.7591696719145062,0.020000000000010232,227.37,5.0,2.0
NVDA,2021-03-10,10:30-15:30,14:30:00,476,7.861673842638039,8.22604437553192,10.749905440646994,11.933174224344127,0.39500000000001023,502.6775,1.0,1.0
QQQ,2021-03-10,10:30-15:30,14:30:00,452,0.3210118292856173,0.3401692387091851,0.6098225366470875,0.6420339635960904,0.009999999999990905,311.525,2.0,2.0
AAPL,2021-03-10,15:30-16:00,15:35:00,4600,0.8317045785329484,0.7904857867582554,0.8319121500761952,0.8319813636178807,0.010000000000005116,120.235,10.0,8.0
AMD,2021-03-10,15:30-16:00,15:35:00,3309,1.2844390212581231,1.3286355924018092,1.2850992739177414,2.569703199281798,0.010000000000005116,77.85499999999999,5.0,9.0
IWM,2021-03-10,15:30-16:00,15:35:00,2091,0.4404413222057004,0.4827751174101353,0.8807856608098926,0.8809796493705503,0.009999999999990905,227.04500000000002,3.0,2.0
AAPL,2021-03-10,15:30-16:00,15:50:00,9223,0.8316354110362273,0.8915073369419426,1.6623722051363994,1.6643088957318992,0.010000000000005116,120.245,6.0,6.0
AMD,2021-03-10,15:30-16:00,15:50:00,765,1.283120549174428,1.9848566123310103,3.8478804591805473,8.976592158067882,0.010000000000005116,77.965,3.0,3.0
AAPL,2021-03-10,15:30-16:00,15:58:00,4389,0.8332291796851148,0.8022787350851873,0.8334375130217032,1.666250104141484,0.010000000000005116,120.015,11.0,11.0
AMD,2021-03-10,15:30-16:00,15:58:00,2808,1.2884107453462752,1.2759864932461964,1.288576766961551,2.576987501611936,0.010000000000005116,77.61500000000001,12.0,7.0
IWM,2021-03-10,15:30-16:00,15:58:00,2752,0.43982143249800565,0.45101909238494675,0.4398794730239913,0.8797009016938742,0.009999999999990905,227.365,5.0,8.0
