symbol,spec,n_trades,real_mean_pct,null_mean_pct,null_sd_pct,null_p05,null_p95,real_percentile_in_null,z_vs_null
SPY,OR15|touch|or|eod|long_only,731,0.0368132762589843,0.02674869028328959,0.012312912579051191,0.007712829769641701,0.04714916280884152,0.82,0.8174009123412673
SPY,OR15|touch|or|eod|short_only,689,0.008192107218884258,0.007038938171237805,0.012339534040939806,-0.01314869230800686,0.02755924851896631,0.545,0.09345320851018339
SPY,OR15|touch|or|eod|long_short,1420,0.022925962548682236,0.01613492567131618,0.008605412940790855,0.0014144505678699167,0.029446829074470143,0.75,0.7891587450935208
QQQ,OR15|touch|or|eod|long_only,740,0.0685101877101619,0.04768658318605766,0.01660563257101123,0.019823425935401345,0.07241641300098535,0.9,1.254008507959908
QQQ,OR15|touch|or|eod|short_only,681,0.04021864630037199,0.016396843264923095,0.01610782238813999,-0.011357012926026111,0.03948213904215283,0.96,1.4788965548185222
QQQ,OR15|touch|or|eod|long_short,1421,0.05495175020131818,0.0328070873712566,0.011298172412365224,0.01438532789176334,0.050513436304311245,0.975,1.9600216762337128
TSLA,OR15|touch|or|eod|long_only,686,0.2641185854775657,0.15845648699304507,0.04198526100778251,0.08875902095959781,0.2206382456382706,0.99,2.5166474126464244
TSLA,OR15|touch|or|eod|short_only,723,0.14810805157707838,0.1294153105044256,0.03802487701851575,0.06638263662571943,0.19048905357594662,0.665,0.49159241365989387
TSLA,OR15|touch|or|eod|long_short,1409,0.20459011421422124,0.14738049406410736,0.03034511367088048,0.09753854835360962,0.19434593792013144,0.965,1.8852992534680433
NVDA,OR15|touch|or|eod|long_only,686,0.21931275747728618,0.13543800656064714,0.036168485363366025,0.0815561186447926,0.20016678288151593,0.985,2.319000922322096
NVDA,OR15|touch|or|eod|short_only,719,-0.013332534203702803,0.05577418022239573,0.03738697213981416,-0.004889649303258677,0.12355885112271696,0.015,-1.848416987812323
NVDA,OR15|touch|or|eod|long_short,1405,0.10025797831811814,0.09683219900596875,0.024074984839772617,0.05895692286687093,0.1343438424192189,0.525,0.14229621887403646
SPY,OR5|touch|or|eod|long_short,1421,0.022320643729503768,0.01541740090011033,0.0079977782271621,0.0026625179013304067,0.02940206138802586,0.82,0.8631450677075047
QQQ,OR5|touch|or|eod|long_short,1421,0.04103538695146014,0.026132675378977253,0.011221704777637787,0.007449077769089169,0.04448407501305884,0.9,1.3280256313800447
TSLA,OR5|touch|or|eod|long_short,1421,0.23807040293815018,0.1337913021054058,0.02738554719408281,0.08940417703589587,0.17339006243073435,1.0,3.8078151257564046
NVDA,OR5|touch|or|eod|long_short,1421,0.1044290445963306,0.055993916073802774,0.02324119291983747,0.018558888001349215,0.09069902558239953,0.985,2.084020759587866
SPY,OR30|touch|or|2R|long_short,1417,0.022241616486848484,0.03821267002331195,0.00866320983788228,0.023240316147787855,0.05247106505757374,0.04,-1.8435491965836512
QQQ,OR30|touch|or|2R|long_short,1414,0.054473059799407426,0.07185027265570051,0.010383448113962622,0.056417353860283126,0.09000752051272311,0.03,-1.673549351387999
TSLA,OR30|touch|or|2R|long_short,1378,0.19199074274922479,0.23970714053907424,0.028750214766432913,0.1909558027587553,0.28386589266432105,0.06,-1.6596883945910679
NVDA,OR30|touch|or|2R|long_short,1368,0.10485745124411974,0.19447635356114112,0.02531176853746946,0.1471352903755177,0.23332738717829626,0.0,-3.5406021584132668
