label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,quad,horizon_m,pref
Q1: D - rest,116,-0.6049530066780152,-0.6618467898847347,-1.1978975368123799,0.23095690881654818,-0.8513523545965903,0.39457365016856905,58.59186587258989,0.4396551724137931,Q1,3,D
Q2: B - rest,37,-0.5324693053826548,-0.38214182786106,-1.4475345577031171,0.14774726491616486,-1.1736475892313438,0.24053621117142998,24.323119013561993,0.3783783783783784,Q2,3,B
Q3: C - rest,49,0.2716965668576766,0.46086660490582965,0.46637659115092156,0.6409459642748663,0.39707793527258983,0.6913099903626407,35.52009367684022,0.5714285714285714,Q3,3,C
Q4: A - rest,73,-0.9874475109316272,-1.124129218884251,-2.363339584691097,0.018111065556986716,-1.8817737078528678,0.05986674708341311,46.281283462183524,0.3972602739726027,Q4,3,A
Q1: D - rest,111,-1.7794927929438475,-1.7723895363628421,-1.7191303465629912,0.08559064019764318,-0.7589535392211051,0.4478803500678219,21.63394625894717,0.4144144144144144,Q1,12,D
Q2: B - rest,37,-0.5944387297192585,-1.0192277776100391,-1.2299412584812244,0.21871910263171834,-0.8544438806291034,0.39285909139959063,17.856653492643197,0.40540540540540543,Q2,12,B
Q3: C - rest,45,0.43924081211479765,1.7761796488392934,0.4292766753761737,0.6677218889864471,0.2573560095795534,0.7969039586563,16.173594786669415,0.5777777777777777,Q3,12,C
Q4: A - rest,73,-6.9961023361223935,-6.289963476148727,-8.131661274450146,4.440892098500626e-16,-3.799941473373518,0.00014473026498795782,15.941093753512,0.136986301369863,Q4,12,A
