label,1,2,3,4,5,10
(a) top-decile 10d return,0.0755220433511413,0.07768731105528714,0.0823986031961228,0.0829707802132398,0.08400230744185304,0.09516049559918416
(a) top-decile 20d return,0.1011530484062689,0.10395496864653755,0.10522964028203596,0.10635129362879575,0.10575572490096097,0.09936128558434945
(a) top-decile 5d return,0.0845955185388347,0.0827810450247889,0.07669448953494427,0.07348437830463497,0.07240577727535752,0.07868855611398953
(a-inv) bottom-decile 10d return,0.0650469815002229,0.06611832976766086,0.07098148253901117,0.07051708785701427,0.07354510646893098,0.06929597297213104
(a-inv) bottom-decile 20d return,0.0754024132652743,0.0800556434637569,0.08077167560595062,0.08247024745859942,0.0808175953368956,0.07423507573629307
(a-inv) bottom-decile 5d return,0.0954497378929206,0.0906024757860518,0.09315821680242332,0.09276157533180247,0.0926495153853058,0.08139131677044292
(b) close>SMA20 & SMA20 rising,0.057387587160537,0.0558687997863842,0.0564835289103586,0.05653856389887905,0.0560851615088949,0.05714056665188692
(b) close>SMA50 & SMA50 rising,0.0490344181461719,0.04767908959728945,0.04805166440253866,0.04780603808909145,0.04821227845978726,0.04852346511497822
(b-inv) close<SMA20 & SMA20 falling,0.0889395174687825,0.0850642639021867,0.08525310741854802,0.08504360307967533,0.08501500280828006,0.08158613574074383
(b-inv) close<SMA50 & SMA50 falling,0.1002551309121558,0.09957572481941356,0.09732368780218974,0.0959048930746024,0.09440854342528014,0.09319372715400251
(c) RSI(14)>60,0.0538016265969137,0.0524411068753775,0.05396472711571673,0.05546067589088113,0.05542107380984594,0.0552670105579219
(c) RSI(14)>70,0.046181194294777,0.04405095247060025,0.04963566828098783,0.052867588806472424,0.05301113267547514,0.056051893678532604
(c-inv) RSI(14)<30,0.2232941128363849,0.147848656547172,0.15018274426116507,0.12130668248413205,0.11364754045013223,0.07465894216813408
(c-inv) RSI(14)<40,0.1147102210987192,0.10986750632066185,0.1122848247432079,0.11721974252492122,0.11587393547511855,0.097364653897281
(d) MACD bullish crossover,0.0506133219706352,0.0806890028766264,0.06353651580292881,0.04588588256805458,0.05192822603076848,0.06283934881391631
(d-inv) MACD bearish crossover,0.0279232937530769,0.05365426083441545,0.05281670534346063,0.0667741704096304,0.06718108727324018,0.06078193771080448
(e) new 20-day high,0.0173147663142016,0.0194534496560119,0.02928490040444037,0.041343965824127,0.046117510900862003,0.05322175057470045
(e-inv) new 20-day low,0.1208834414202894,0.10099941086669875,0.12202514325576297,0.11195784072674257,0.11469141727396334,0.0976947584140928
(f) relvol>1.5 & up day,-0.0656184221440095,-0.0017516432406855,-0.0016101252947880668,0.0146716439829505,0.01043118265210272,0.03308929788491606
(f-inv) relvol>1.5 & down day,0.0981874318007516,0.0998034963799688,0.07828197894481487,0.07866247597069195,0.0828010985995207,0.04721024189312121
(g) ADX>25 & +DI>-DI,0.0451935281642621,0.04896222688802905,0.051634098058649665,0.05414445529540565,0.05566360242711492,0.058952783656160926
(g-inv) ADX>25 & -DI>+DI,0.1038674471374847,0.0958789249777983,0.0923624965107631,0.09129813344329687,0.09081079441798318,0.0876567986660997
"unconditional (any symbol, any day)",0.0665457293946586,0.06612978290698575,0.06631055651265873,0.06632452118268595,0.06618867121808067,0.06620701698885918
