symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
NVDA,2021-01-08 10:30:00,2021-01-08 10:40:00,2021-01-08 15:55:00,-1,527.4122,531.16,533.82,514.5965999999999,6.407800000000066,-0.5848809263709769,-0.7106016887739768,63,flatten
IWM,2021-01-08 10:30:00,2021-01-08 10:45:00,2021-01-08 13:15:00,-1,208.54500000000002,206.09500000000003,209.77,206.09500000000003,1.2249999999999943,2.0,1.1748063967009463,30,target
GOOGL,2021-01-08 10:45:00,2021-01-08 11:10:00,2021-01-08 15:25:00,1,1771.35,1791.6099999999997,1761.22,1791.6099999999997,10.129999999999882,2.0,1.1437604087277933,51,target
AMD,2021-01-08 10:45:00,2021-01-08 11:15:00,2021-01-08 13:20:00,1,94.16,93.57,93.57,95.34,0.5900000000000034,-1.0,-0.6265930331350928,25,stop
META,2021-01-08 11:05:00,2021-01-08 11:25:00,2021-01-08 12:15:00,1,264.325,265.87499999999994,263.55,265.87499999999994,0.7749999999999773,2.0,0.5863993190201285,10,target
AMZN,2021-01-08 10:45:00,2021-01-08 11:30:00,2021-01-08 15:30:00,1,3154.7875000000004,3179.9625000000015,3142.2,3179.9625000000015,12.587500000000546,2.0,0.7979935257129391,48,target
SPY,2021-01-11 10:30:00,2021-01-11 10:45:00,2021-01-11 11:10:00,1,379.41999999999996,378.84,378.84,380.5799999999999,0.5799999999999841,-1.0,-0.15286489905645043,5,stop
NVDA,2021-01-11 10:35:00,2021-01-11 10:45:00,2021-01-11 11:10:00,1,552.90085,550.56,550.56,557.5825500000001,2.340850000000046,-1.0,-0.42337608994452547,5,stop
AAPL,2021-01-11 10:45:00,2021-01-11 10:50:00,2021-01-11 15:55:00,-1,129.65025,128.98,130.17,128.61075000000002,0.5197499999999877,1.2895622895623393,0.5169677651990721,61,flatten
QQQ,2021-01-11 10:50:00,2021-01-11 10:55:00,2021-01-11 12:30:00,-1,316.28499999999997,316.96,316.96,314.93499999999995,0.6750000000000114,-1.0,-0.21341511611363528,19,stop
IWM,2021-01-11 10:50:00,2021-01-11 10:55:00,2021-01-11 10:55:00,-1,207.285,206.955,207.45,206.955,0.16499999999999204,2.0,0.1592010999348646,0,target
AMZN,2021-01-11 10:50:00,2021-01-11 10:55:00,2021-01-11 11:30:00,-1,3139.9475,3146.985,3146.985,3125.8725000000004,7.037499999999909,-1.0,-0.22412795118389428,7,stop
AMD,2021-01-11 10:40:00,2021-01-11 11:00:00,2021-01-11 11:15:00,1,97.975,97.7,97.7,98.52499999999998,0.2749999999999915,-1.0,-0.28068384792037915,3,stop
META,2021-01-11 10:50:00,2021-01-11 11:00:00,2021-01-11 11:55:00,-1,259.905,261.08,261.08,257.55499999999995,1.1750000000000114,-1.0,-0.45208826301918453,11,stop
MSFT,2021-01-11 11:15:00,2021-01-11 11:20:00,2021-01-11 11:20:00,-1,217.78,217.93,217.93,217.48,0.15000000000000568,-1.0,-0.06887684819542919,0,stop
AAPL,2021-01-12 10:30:00,2021-01-12 10:35:00,2021-01-12 12:00:00,1,128.92495,128.08,128.08,130.61484999999996,0.844949999999983,-1.0,-0.6553812896572642,17,stop
MSFT,2021-01-12 10:30:00,2021-01-12 10:40:00,2021-01-12 12:00:00,1,215.39249999999998,214.3921,214.3921,217.39329999999995,1.0003999999999849,-1.0,-0.46445442622189026,16,stop
META,2021-01-12 10:45:00,2021-01-12 11:05:00,2021-01-12 11:05:00,-1,253.865,253.39500000000004,254.1,253.39500000000004,0.23499999999998522,2.0,0.18513777007463433,0,target
SPY,2021-01-12 11:10:00,2021-01-12 11:15:00,2021-01-12 12:05:00,1,379.445,377.75,377.75,382.835,1.6949999999999932,-1.0,-0.4467050560687301,10,stop
GOOGL,2021-01-12 11:10:00,2021-01-12 11:15:00,2021-01-12 11:25:00,1,1747.90875,1741.528,1741.528,1760.6702500000001,6.380750000000035,-1.0,-0.36505052108698666,2,stop
QQQ,2021-01-12 11:10:00,2021-01-12 11:25:00,2021-01-12 11:50:00,1,314.53999999999996,313.5828,313.5828,316.45439999999985,0.9571999999999434,-1.0,-0.3043174159089284,5,stop
AMD,2021-01-12 11:20:00,2021-01-12 11:35:00,2021-01-12 11:55:00,1,97.60249999999999,96.03,96.03,100.74749999999997,1.572499999999991,-1.0,-1.6111267641709905,4,stop
AMZN,2021-01-12 11:35:00,2021-01-12 11:40:00,2021-01-12 11:50:00,1,3106.84,3098.0,3098.0,3124.5200000000004,8.840000000000146,-1.0,-0.284533480964586,2,stop
NVDA,2021-01-12 11:05:00,2021-01-12 11:50:00,2021-01-12 12:05:00,1,540.385,537.2707,537.2707,546.6135999999999,3.1142999999999574,-1.0,-0.5763113335862315,3,stop
IWM,2021-01-12 11:15:00,2021-01-12 11:50:00,2021-01-12 12:15:00,1,210.14249999999998,209.45,209.45,211.52749999999997,0.6924999999999955,-1.0,-0.3295382894940317,5,stop
SPY,2021-01-13 10:55:00,2021-01-13 11:00:00,2021-01-13 15:55:00,1,379.565,379.76,377.85,382.99499999999995,1.714999999999975,0.11370262390670322,0.05137459987090305,59,flatten
AMD,2021-01-13 10:55:00,2021-01-13 11:00:00,2021-01-13 11:00:00,-1,92.09,91.95000000000002,92.16,91.95000000000002,0.06999999999999318,2.0,0.15202519274621168,0,target
IWM,2021-01-13 11:00:00,2021-01-13 11:05:00,2021-01-13 15:30:00,1,210.8,209.26,209.26,213.88000000000005,1.5400000000000205,-1.0,-0.7305502846299907,53,stop
MSFT,2021-01-13 10:45:00,2021-01-13 11:10:00,2021-01-13 15:55:00,1,215.185,216.41,214.12,217.315,1.0649999999999977,1.1502347417840346,0.569277598345607,57,flatten
NVDA,2021-01-13 11:15:00,2021-01-13 11:25:00,2021-01-13 11:30:00,-1,538.96,541.0,541.0,534.8800000000001,2.0399999999999636,-1.0,-0.3785067537479523,1,stop
GOOGL,2021-01-13 11:45:00,2021-01-13 12:45:00,2021-01-13 13:00:00,-1,1753.43,1748.49,1755.9,1748.49,2.4700000000000273,2.0,0.28173351659319473,3,target
AAPL,2021-01-14 10:30:00,2021-01-14 10:35:00,2021-01-14 12:40:00,1,130.125,129.6,129.6,131.175,0.5250000000000057,-1.0,-0.40345821325648856,25,stop
AMZN,2021-01-14 10:35:00,2021-01-14 10:55:00,2021-01-14 12:00:00,-1,3166.1125,3142.337700000001,3177.9999,3142.337700000001,11.887399999999616,2.0,0.7509145679441028,13,target
GOOGL,2021-01-14 10:45:00,2021-01-14 10:55:00,2021-01-14 11:20:00,1,1757.13,1751.6,1751.6,1768.1900000000005,5.5300000000002,-1.0,-0.3147177499672876,5,stop
IWM,2021-01-14 10:50:00,2021-01-14 10:55:00,2021-01-14 11:30:00,-1,213.16,213.94,213.94,211.6,0.7800000000000011,-1.0,-0.36592231187840174,7,stop
QQQ,2021-01-14 10:45:00,2021-01-14 11:00:00,2021-01-14 11:55:00,1,317.07399999999996,316.07,316.07,319.0819999999999,1.0039999999999623,-1.0,-0.31664532569682863,11,stop
NVDA,2021-01-14 11:20:00,2021-01-14 11:30:00,2021-01-14 14:25:00,-1,536.07255,531.93765,538.14,531.93765,2.067450000000008,2.0,0.7713321639020718,35,target
AMD,2021-01-14 11:35:00,2021-01-14 11:55:00,2021-01-14 12:15:00,-1,91.065,90.535,91.33,90.535,0.26500000000000057,2.0,0.5820018667984419,4,target
SPY,2021-01-14 12:40:00,2021-01-14 12:50:00,2021-01-14 12:50:00,-1,380.2364,380.53,380.53,379.64920000000006,0.29359999999996944,-1.0,-0.07721512196096152,0,stop
META,2021-01-15 10:35:00,2021-01-15 10:40:00,2021-01-15 15:55:00,1,251.365,251.36,248.87,256.355,2.4950000000000045,-0.0020040080160302377,-0.0019891392994233295,63,flatten
