label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
AAPL|full,overnight,9239,8.390501036711768,21.144062612513657,19.489761315257788,25.255030783289133,0.8372218111293833,5.069355487806992,3.991650776580258e-07,0.5517913194068622,1990-01-03,2026-09-10,AAPL,full
AAPL|full,intraday,9239,3.046224430007938,7.6764855636200044,1.668346220377808,34.77496239359612,0.2207474871355618,1.3366200813864455,0.18134668069043336,0.49821409243424614,1990-01-03,2026-09-10,AAPL,full
AAPL|full,total,9239,11.290735427261742,28.452653276699593,21.483264231899344,42.00006699301787,0.6774430450653707,4.101899368276371,4.0977249370799385e-05,0.5090377746509362,1990-01-03,2026-09-10,AAPL,full
ADBE|full,overnight,9239,2.5363708584785862,6.391654563366038,3.236495795541693,24.802603818631866,0.2577009498722303,1.5603723016790578,0.11867192641705682,0.5185626150016236,1990-01-03,2026-09-10,ADBE,full
ADBE|full,intraday,9239,7.565924596171803,19.066129982352944,12.065662752192,39.24543738526369,0.4858177473010431,2.9416133581522015,0.003265073143381869,0.5052494858750947,1990-01-03,2026-09-10,ADBE,full
ADBE|full,total,9239,10.036251296845348,25.291353268050276,15.692663215412663,46.228511037123276,0.5470942650032649,3.3126410203059478,0.0009241952042198243,0.5023270916765884,1990-01-03,2026-09-10,ADBE,full
AMD|full,overnight,9239,15.537278258183267,39.15394121062184,39.23906099094272,34.652997759499605,1.12988612074372,6.8414299898166,7.84061704450778e-12,0.5050330122307609,1990-01-03,2026-09-10,AMD,full
AMD|full,intraday,9239,-2.796260481855911,-7.046576414276895,-18.124487530816243,51.06513449851733,-0.1379919290035649,-0.8355374086870153,0.4034151934617225,0.45491936356748564,1990-01-03,2026-09-10,AMD,full
AMD|full,total,9239,12.64028077165752,31.853507544576953,14.002694743613667,61.30273042587518,0.5196099312916077,3.1462241208919686,0.0016539321292261544,0.48035501677670744,1990-01-03,2026-09-10,AMD,full
AMGN|full,overnight,9239,6.36355979567417,16.03617068509891,15.435381863958753,18.274076572561025,0.8775365814750723,5.31346033502294,1.0756285728774628e-07,0.5314427968394848,1990-01-03,2026-09-10,AMGN,full
AMGN|full,intraday,9239,2.810016622540858,7.081241888802962,2.8156186364304787,29.36051932900216,0.24118244672219236,1.46035321058414,0.14419302500719233,0.487390410217556,1990-01-03,2026-09-10,AMGN,full
AMGN|full,total,9239,9.002144619608206,22.68540444141268,18.6856019887551,33.376619755165116,0.6796795064276112,4.115441081510823,3.864397043074064e-05,0.49929646065591515,1990-01-03,2026-09-10,AMGN,full
AMZN|full,overnight,7375,7.3299702217508065,18.471524958812033,14.50629330255438,31.652676492019573,0.5835691324071495,3.1569888932064902,0.0015940741796651725,0.5323389830508475,1997-05-16,2026-09-10,AMZN,full
AMZN|full,intraday,7375,9.503374247787143,23.948503104423597,14.20908864639184,46.51577601538537,0.5148469004688322,2.7852157631735253,0.005349211535542686,0.5003389830508475,1997-05-16,2026-09-10,AMZN,full
AMZN|full,total,7375,16.535032229231497,41.66828121766337,30.776594023611807,54.961552276923086,0.758135087009884,4.101354777569825,4.10738249894127e-05,0.5092881355932204,1997-05-16,2026-09-10,AMZN,full
BA|full,overnight,9239,3.9902765016800683,10.055496784233773,8.85459235207569,17.682552530293545,0.5686677173449258,3.4432676924319567,0.000574730122156808,0.5286286394631453,1990-01-03,2026-09-10,BA,full
BA|full,intraday,9239,1.2432309859653086,3.1329420846325777,-0.517941980133637,27.018687983016136,0.11595463431096047,0.7021021836351563,0.4826154406544876,0.4890139625500595,1990-01-03,2026-09-10,BA,full
BA|full,total,9239,5.414691865130909,13.645023500129888,8.290788720980949,33.67438639231015,0.40520481475635306,2.453504225600606,0.014147187725824573,0.4991882238337482,1990-01-03,2026-09-10,BA,full
BAC|full,overnight,9239,5.714800581967833,14.40129746655894,12.458790501500696,23.092323107846187,0.623640046923895,3.776123665513642,0.00015928792896380273,0.5263556661976404,1990-01-03,2026-09-10,BAC,full
BAC|full,intraday,9239,0.39731122071004765,1.00122427618932,-4.307463914484039,32.84743633272444,0.030481047776378365,0.18456192225910795,0.8535726544143769,0.4957246455244074,1990-01-03,2026-09-10,BAC,full
BAC|full,total,9239,6.086654697783494,15.338369838414406,7.614668681983325,40.08218776600886,0.382672970047356,2.3170745135367405,0.020499673083474557,0.498322329256413,1990-01-03,2026-09-10,BAC,full
C|full,overnight,9238,11.567382268546666,29.1498033167376,29.50324604706045,25.633070698862113,1.1371951358926184,6.885313226967342,5.766054300693213e-12,0.5458973803853648,1990-01-03,2026-09-10,C,full
C|full,intraday,9238,-5.550706496421079,-13.98778037098112,-18.26086425561846,34.85397489067584,-0.40132525529313845,-2.4298820856430536,0.015103735713398958,0.4761853214981598,1990-01-03,2026-09-10,C,full
C|full,total,9238,5.8023644852298535,14.621958502779231,5.854834079787192,42.122351498320484,0.3471306321386698,2.101752863261989,0.03557493019332236,0.49404633037453993,1990-01-03,2026-09-10,C,full
CAT|full,overnight,9239,5.197423596556868,13.097507463323307,12.48621054118153,16.270675519649412,0.804976256056855,4.874109521455738,1.0930034348710649e-06,0.537720532525165,1990-01-03,2026-09-10,CAT,full
CAT|full,intraday,9239,2.716179197038975,6.844771576538217,3.4184362668496595,26.41104579116169,0.25916321643078527,1.5692262862560336,0.11659522130670164,0.4910704621712306,1990-01-03,2026-09-10,CAT,full
CAT|full,total,9239,8.0341468096654,20.246049960356807,16.331479957526135,31.990398402399713,0.6328789565446012,3.832065014107871,0.00012707214588680849,0.5039506440090918,1990-01-03,2026-09-10,CAT,full
COST|full,overnight,9239,0.7504405666642162,1.8911102279938248,0.7885756372135326,14.585628994257007,0.129655719937648,0.7850618876075942,0.43241728405297675,0.5195367464011257,1990-01-03,2026-09-10,COST,full
COST|full,intraday,9239,6.3072585037624735,15.894291429481433,12.971719699016667,27.2291377230751,0.5837236416051454,3.534430907792522,0.0004086542595285181,0.49366814590323627,1990-01-03,2026-09-10,COST,full
COST|full,total,9239,6.973417358810349,17.57301174420208,13.862587157504278,30.245327286371044,0.5810157575025059,3.5180347425784992,0.000434755439222112,0.4985388029007468,1990-01-03,2026-09-10,COST,full
CRM|full,overnight,5589,1.9287230201385646,4.860382010749182,2.15861175786102,23.385705850922,0.20783559161022966,0.9787836507611292,0.32768688957429815,0.5315798890678117,2004-06-24,2026-09-10,CRM,full
CRM|full,intraday,5589,8.864117203096683,22.33757535180364,17.50660454260915,35.193449777226945,0.6347083191105035,2.9891036512769302,0.002797971964109802,0.5133297548756486,2004-06-24,2026-09-10,CRM,full
CRM|full,total,5589,10.724327897340263,27.025306301297462,20.04311592452917,41.93246971965951,0.6444959355357738,3.035197579957547,0.0024037815787165684,0.5106459116120952,2004-06-24,2026-09-10,CRM,full
CSCO|full,overnight,9206,7.838797050910126,19.753768568293516,19.109773529551344,21.222977238313625,0.9307727349691653,5.6257297803827795,1.8472532614666193e-08,0.5457310449706713,1990-02-20,2026-09-10,CSCO,full
