start,end,plain_terminal,ovl_terminal,plain_irr,ovl_irr,plain_dd,ovl_dd,ratio,beat,n_triggers,months_saving
1980-01-31,1999-12-31,1699403.3747276403,1547061.6435545052,0.17099740962989274,0.16340645636381845,-0.283682266416144,-0.27426260686407655,0.9103557557677849,False,0,140
1980-02-29,2000-01-31,1597727.3237993158,1456184.2552036834,0.16601387948316315,0.15849932880214967,-0.28345568191500514,-0.27388231770599836,0.9114097465273048,False,0,141
1980-03-31,2000-02-29,1551502.6768128911,1413854.0815186354,0.16363852406504042,0.15610369496844712,-0.2832225913438152,-0.2734910455742038,0.9112804654794314,False,0,142
1980-04-30,2000-03-31,1683528.1005260423,1526271.8725170384,0.1702399585968959,0.16231080097770745,-0.282955150727506,-0.2730420331987976,0.9065912663056429,False,0,143
1980-05-31,2000-04-30,1614962.1879860493,1464348.2832259897,0.16688134236064656,0.15895301145640484,-0.2826893780145877,-0.2725957371007377,0.9067384327134719,False,0,144
1980-06-30,2000-05-31,1565434.877083662,1419200.7269174696,0.16436210689537778,0.1564103779787982,-0.2824285513426831,-0.2721576651492543,0.9065856061424795,False,0,145
1980-07-31,2000-06-30,1587785.6583073407,1436307.9292846492,0.16550907514999214,0.15738361355317054,-0.2821659978379143,-0.27171661138950265,0.9045981249231245,False,0,146
1980-08-31,2000-07-31,1548893.511694784,1400647.1114643028,0.16350226494446818,0.15534093026377627,-0.28191144010423763,-0.2712889113293323,0.9042888364428155,False,0,147
1980-09-30,2000-08-31,1628762.2019496614,1467269.4838640797,0.16756903658307043,0.15911470592482524,-0.2816517678009598,-0.27085253868435033,0.9008494193367996,False,0,148
1980-10-31,2000-09-30,1527924.3183939396,1378477.9697781217,0.1623984530079976,0.1540435266193061,-0.281390590828801,-0.2704135567321272,0.9021899535096694,False,0,149
1980-11-30,2000-10-31,1507043.42824696,1358526.4372744192,0.16128354026561875,0.15285713797352418,-0.28112614655978185,-0.2699690006292471,0.9014514192565105,False,0,150
1980-12-31,2000-11-30,1376612.2668637845,1245092.4810769989,0.15393334802020053,0.1457452279912157,-0.28088039651153873,-0.269555796832311,0.9044612713742441,False,0,151
1981-01-31,2000-12-31,1371081.9805433385,1238541.0065817183,0.1536058398135185,0.14531393551196525,-0.28061102435500707,-0.26910279241883206,0.9033311094139709,False,0,152
1981-02-28,2001-01-31,1405969.1291034066,1266310.028433236,0.15564920068259602,0.14712582960328224,-0.28031980076173735,-0.26861294332402286,0.9006670219286879,False,0,153
1981-03-31,2001-02-28,1265398.663128424,1144783.4163396657,0.14706702867014898,0.13886461930278693,-0.2800248405314668,-0.2681167062853217,0.9046820181629058,False,0,154
1981-04-30,2001-03-31,1174079.7273703022,1065542.4700372103,0.14093782807451327,0.13296334016559763,-0.2797308803162405,-0.2676220487172555,0.9075554625441041,False,0,155
1981-05-31,2001-04-30,1253287.6966687453,1130896.4138983444,0.14628138751627828,0.13786224000343994,-0.2794201085645269,-0.26709898997851456,0.9023438248889553,False,0,156
