paper_days,symbols,trades,se_bps,min_detectable_edge_bps
20,1,8,20.18441761076386,56.54836161205188
20,5,42,9.026745972782377,25.289196116157516
20,10,84,6.382873289402777,17.88216206449148
20,20,168,4.513372986391189,12.644598058078758
40,1,17,14.272538566872296,39.98572996087093
40,5,84,6.382873289402777,17.88216206449148
40,10,168,4.513372986391189,12.644598058078758
40,20,336,3.1914366447013887,8.94108103224574
60,1,25,11.653478941010338,32.64821179895045
60,5,126,5.211594217292276,14.600724185252782
60,10,252,3.6851536118399655,10.324271081626671
60,20,504,2.605797108646138,7.300362092626391
90,1,38,9.515025711248198,26.657153307247288
90,5,189,4.255248859601851,11.921441376327653
90,10,378,3.008915324260792,8.429732038719173
90,20,756,2.1276244298009255,5.960720688163827
126,1,53,8.041664463712646,22.529406536570395
126,5,265,3.596341678621173,10.0754569016999
126,10,529,2.5429975884168425,7.124423898744801
126,20,1058,1.7981708393105864,5.03772845084995
252,1,106,5.686315474318092,15.930696138117453
252,5,529,2.5429975884168425,7.124423898744801
252,10,1058,1.7981708393105864,5.03772845084995
252,20,2117,1.2714987942084213,3.5622119493724007
504,1,212,4.020832231856323,11.264703268285198
504,5,1058,1.7981708393105864,5.03772845084995
504,10,2117,1.2714987942084213,3.5622119493724007
504,20,4234,0.8990854196552932,2.518864225424975
1260,1,529,2.5429975884168425,7.124423898744801
1260,5,2646,1.1372630948636184,3.1861392276234906
1260,10,5292,0.8041664463712644,2.2529406536570393
1260,20,10584,0.5686315474318092,1.5930696138117453
