label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,t_R_symclust,n_symbols
source-as-written IN SAMPLE (<2024-06),3672,0.08241138826802738,-0.11890236499612056,0.4537037037037037,3.7999307924275563,0.0001447365030404768,0.048674244378722274,4.759733384078174,1.938488569219743e-06,4.867424437872227,0.3842043728296642,12.106753812636166,0.03894335511982571,0.37717864923747274,0.5536492374727668,4.096707148618484,10
source-as-written OUT OF SAMPLE (>=2024-06),2245,0.09701047099430643,-0.08235294117646844,0.4708240534521158,3.7182627049133075,0.0002005976021779432,0.06298325627237462,5.613231484982778,1.9858265698502464e-08,6.298325627237462,0.3368893879842785,11.998218262806237,0.03296213808463252,0.35055679287305125,0.5812917594654788,3.5825899998342967,10
best-in-sample cell [full_R2_k2_be1.0] IN SAMPLE,5837,0.10020034600161382,0.0,0.38804180229569984,6.431056754839376,1.2671996785229567e-10,0.06557755248716599,9.186142317096339,0.0,6.557755248716599,0.3258870864966162,10.905602192907315,0.18228542059277025,0.36011649820113073,0.27548398149734454,5.226213628670773,10
best-in-sample cell [full_R2_k2_be1.0] OUT OF SAMPLE,3671,0.09911387140669564,0.0,0.3870879869245437,5.427671797348723,5.709390227259803e-08,0.061454053009219786,7.77294964171255,7.549516567451064e-15,6.145405300921978,0.2873708091756961,11.359575047670935,0.1735222010351403,0.3456823753745573,0.2952873876327976,3.680249913458286,10
