symbol,bucket,n_sessions,cs_median_bps,cs_p90_bps
SPY,09:30-09:45,1421,3.7805075463824935,10.596921848250556
SPY,09:45-10:30,1421,2.3435297905845913,6.890780438898609
SPY,10:30-15:30,1421,1.5904142126305567,3.7339083058215814
SPY,15:30-16:00,1421,1.792056613716165,6.841836793172847
SPY,YEAR_2021,252,1.3260774395962494,2.806145161679185
SPY,YEAR_2022,251,3.0726232625408803,5.626893040148385
SPY,YEAR_2023,250,1.8181139061718727,3.2612380107898975
SPY,YEAR_2024,252,1.5604927523065193,2.524754038922875
SPY,YEAR_2025,250,1.4344776671597705,3.7728710231542375
SPY,YEAR_2026,166,1.581110450632044,2.7586908887915342
QQQ,09:30-09:45,1421,6.002890967677832,17.897563123247394
QQQ,09:45-10:30,1421,3.506906603388112,9.808390334878176
QQQ,10:30-15:30,1421,2.119078170224231,4.751350542602474
QQQ,15:30-16:00,1421,2.213836755430757,7.965516097750455
QQQ,YEAR_2021,252,1.8310100395016335,3.8149199494399344
QQQ,YEAR_2022,251,3.860849600666407,6.733521570568142
QQQ,YEAR_2023,250,2.2580946833865285,3.644103802894648
QQQ,YEAR_2024,252,2.1217585869267994,3.442269386277925
QQQ,YEAR_2025,250,1.8069915441458724,4.772080632028891
QQQ,YEAR_2026,166,2.1444290305249574,4.25613159155904
IWM,09:30-09:45,1421,7.852858609117106,19.76483472303619
IWM,09:45-10:30,1421,3.9594525293239924,11.324494899122152
IWM,10:30-15:30,1421,2.098006528903478,4.666345239088683
IWM,15:30-16:00,1418,2.1802948040035486,7.88703091893215
IWM,YEAR_2021,252,2.4059826846069505,5.018925652667321
IWM,YEAR_2022,251,3.244027354218926,6.016862574559794
IWM,YEAR_2023,250,2.053925299636476,3.7407579499655834
IWM,YEAR_2024,252,2.127957901823995,3.834783183453552
IWM,YEAR_2025,250,2.043005845224762,4.838775143255309
IWM,YEAR_2026,166,2.0816812026907847,4.176127662669582
AAPL,09:30-09:45,1421,10.819095524638046,28.70587728322474
AAPL,09:45-10:30,1421,5.420715334688773,13.729740380299345
AAPL,10:30-15:30,1421,2.8673886062258003,5.602886626000958
AAPL,15:30-16:00,1421,3.282977754812437,10.005723679433165
AAPL,YEAR_2021,252,3.0294999200984734,5.644467909823615
AAPL,YEAR_2022,251,4.655414282403595,7.652817826633185
AAPL,YEAR_2023,250,2.888147150938983,4.8166298355107395
AAPL,YEAR_2024,252,2.551979259488841,4.686284250980688
AAPL,YEAR_2025,250,2.8148449859604865,5.623010490855036
AAPL,YEAR_2026,166,3.0928266271323794,4.82466636248548
NVDA,09:30-09:45,1421,20.931339053898846,54.547686977570166
NVDA,09:45-10:30,1421,9.475541467598463,24.497714587606517
NVDA,10:30-15:30,1421,4.951086760090736,10.293824525302607
NVDA,15:30-16:00,1421,4.630045257176571,16.275582895460026
NVDA,YEAR_2021,252,4.894342388034391,9.180363141381882
NVDA,YEAR_2022,251,8.165650292312298,14.316630846387232
NVDA,YEAR_2023,250,5.362667275980007,8.94604232324028
NVDA,YEAR_2024,252,5.415846801096412,9.469165817958666
NVDA,YEAR_2025,250,4.430053766458739,10.143918182177494
NVDA,YEAR_2026,166,4.739327181282617,7.645593398435577
TSLA,09:30-09:45,1421,21.417085825397482,62.64483865004105
TSLA,09:45-10:30,1421,11.395186150827195,27.854665018459414
TSLA,10:30-15:30,1421,6.204777381964471,11.278777534092123
TSLA,15:30-16:00,1421,5.8247849356964645,17.19610498921395
TSLA,YEAR_2021,252,6.045437387815879,11.102036695389451
TSLA,YEAR_2022,251,8.164718464260883,12.970549579736836
TSLA,YEAR_2023,250,6.272310099878284,10.425162967401645
TSLA,YEAR_2024,252,6.32639220483621,10.216524682837976
TSLA,YEAR_2025,250,6.9601815730480645,12.941107107179661
TSLA,YEAR_2026,166,5.398352616603285,8.18791393932975
AMD,09:30-09:45,1421,23.65851054087631,62.898068487062844
AMD,09:45-10:30,1421,10.987062411504011,27.929659690641692
AMD,10:30-15:30,1421,5.6567212706287835,10.402149587111543
AMD,15:30-16:00,1421,5.167764848659774,16.594215870675434
AMD,YEAR_2021,252,5.378712481775125,9.321430433476404
AMD,YEAR_2022,251,8.125513060534743,13.269101678272335
AMD,YEAR_2023,250,5.481690004224807,8.63849309593145
AMD,YEAR_2024,252,5.597834564291113,9.23117467699111
AMD,YEAR_2025,250,5.453010840724705,9.67534154089494
AMD,YEAR_2026,166,7.1992851598706356,12.776389558788022
