symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
MDY,pre2015,4950,252,8,6.922974684649204,-1.0770253153507952,-3.3265262675781377,-0.23503229627578862,-1.0416693189465602,0.2975650182675831
MDY,pre2015,4950,252,10,6.922974684649204,-3.077025315350799,-8.079332254707658,-0.671479412097272,-2.9760144157603388,0.0029202113463326906
MDY,pre2015,4950,252,20,6.922974684649204,-13.0770253153508,-28.57065775562554,-2.8537149912046846,-12.647739899829215,0.0
XLK,full,6970,252,0,6.048672217689224,6.048672217689224,14.967878238616553,0.9519452829746154,5.00642950019638,5.544895724796106e-07
XLK,full,6970,252,1,6.048672217689224,5.048672217689222,12.108163986239783,0.7945644151222179,4.178738840161078,2.9313005415421145e-05
XLK,full,6970,252,2,6.048672217689224,4.048672217689225,9.319307054660616,0.6371835472698207,3.351048180125779,0.0008050629417115651
XLK,full,6970,252,3,6.048672217689224,3.048672217689221,6.59955858047929,0.4798026794174228,2.5233575200904754,0.01162401547102121
XLK,full,6970,252,5,6.048672217689224,1.0486722176892196,1.3606054783433594,0.1650409437126276,0.8679762000198726,0.3854073618271032
XLK,full,6970,252,8,6.048672217689224,-1.9513277823107769,-6.0208156703058116,-0.3071016598445641,-1.6150957800860264,0.10628995467699887
XLK,full,6970,252,10,6.048672217689224,-3.951327782310782,-10.64177929168137,-0.6218633955493598,-3.270477100156632,0.0010736623473113216
XLK,full,6970,252,20,6.048672217689224,-13.951327782310786,-30.564279566469104,-2.1956720740733346,-11.547383700509643,0.0
