criterion,entry,label,hold,IS_n,IS_mean_pct,IS_excess_pct,IS_t_excess,IS_t_dateclust,IS_mean_net5,OOS_n,OOS_mean_pct,OOS_base_pct,OOS_excess_pct,OOS_t_excess,OOS_p_excess,OOS_t_dateclust,OOS_mean_net5,OOS_breakeven_bps
"max t_excess_dateclust, any hold",a2_ret10_topdec,(a) top-decile 10d return,10,9066,0.873249916835452,0.2530017398384993,1.721107800760458,3.2644235239183708,0.8232499168354518,8502,1.0351578594253668,0.7066665222239953,0.32849133720137147,1.4800795475254571,0.13885201901980349,3.432358696423052,0.9851578594253667,103.51578594253668
"max mean_pct, any hold",a2_ret10_topdec,(a) top-decile 10d return,10,9066,0.873249916835452,0.2530017398384993,1.721107800760458,3.2644235239183708,0.8232499168354518,8502,1.0351578594253668,0.7066665222239953,0.32849133720137147,1.4800795475254571,0.13885201901980349,3.432358696423052,0.9851578594253667,103.51578594253668
"max t_excess_dateclust, holds 2-5",a3_ret20_topdec,(a) top-decile 20d return,4,9066,0.37553314787054765,0.13082835089083708,1.6927354220220099,3.257302705935345,0.32553314787054766,8538,0.47836134616665466,0.2871648857088262,0.19119646045782845,1.894747458487102,0.058125867037241985,3.7634388283809392,0.42836134616665467,47.83613461666547
"max mean_pct, holds 2-5",a3_ret20_topdec,(a) top-decile 20d return,5,9066,0.4549687629690633,0.15023335706877072,1.647117784623337,3.2393163510609293,0.40496876296906326,8532,0.6072080905951744,0.35879160696048584,0.2484164836346886,2.0028245606549997,0.045196122656073756,3.904777648679084,0.5572080905951744,60.72080905951744
"max t_dateclust (raw, no base-rate control), holds 2-5",a3_ret20_topdec,(a) top-decile 20d return,4,9066,0.37553314787054765,0.13082835089083708,1.6927354220220099,3.257302705935345,0.32553314787054766,8538,0.47836134616665466,0.2871648857088262,0.19119646045782845,1.894747458487102,0.058125867037241985,3.7634388283809392,0.42836134616665467,47.83613461666547
