series,end,n2007,n2009,extra_capital_2007,term2007,term2009,diff,perdollar2007,perdollar2009,irr2007,irr2009,fairA_2007_trunc_term,fairA_2007_trunc_n,fairB_2009_ext_term,fairB_2009_ext_n,fairB_2009_ext_last
VFINX_TR,2020-12-31,162,143,19000.0,429992.84144611785,355966.01250747504,74026.82893864281,2.6542767990501104,2.4892728147375878,0.13602875113969515,0.14571100025421546,406871.3676823662,143,418265.40184233314,162,2022-07-31
VFINX_TR,2021-12-31,174,155,19000.0,566171.3967977834,471027.87981803314,95143.5169797503,3.253858602286112,3.038889547213117,0.15081993411444228,0.1614470120758189,542671.96057265,155,485669.4498224081,174,2023-07-31
VFINX_TR,2022-12-31,186,167,19000.0,474308.8372015737,396523.72130294185,77785.11589863186,2.550047511836418,2.374393540736179,0.11284670008869857,0.11732686982579432,456781.14178518736,167,606112.1374270025,186,2024-07-31
VFINX_TR,2023-12-31,198,179,19000.0,611555.9555037323,513456.244720387,98099.71078334533,3.088666441938042,2.8684706408960166,0.1258646887341175,0.13147551094615673,589419.9914349408,179,717119.2984856983,198,2025-07-31
VFINX_TR,2024-12-31,210,191,19000.0,776532.6711496343,654063.4490259177,122469.22212371661,3.697774624522068,3.42441596348648,0.13578815094727736,0.14201278124678263,754123.4197265505,191,869159.4646928834,210,2026-07-31
VFINX_TR,2025-12-31,222,203,19000.0,927319.9684227124,783155.7934938011,144164.17492891126,4.177116974877083,3.8579103127773458,0.1390267577047839,0.1450694385360225,905578.2480544412,203,884154.7282572131,212,2026-09-30
VFINX_TR,2026-08-31,230,211,19000.0,1056664.9489704592,893722.9474478461,162942.0015226131,4.594195430306344,4.235653779373678,0.14210404883433325,0.14814175168912658,1034450.3855599784,211,884154.7282572131,212,2026-09-30
VFINX_TR,2019-06-28,143,124,19000.0,290103.9015933223,237321.93263834022,52781.96895498206,2.0286986125407154,1.9138865535350018,0.11409610473721021,0.12216706127524413,270768.3771169528,124,355966.01250747504,143,2020-12-31
SPY_TR,2020-12-31,162,143,19000.0,431195.4974638679,356882.1384086733,74313.3590551946,2.661700601628814,2.4956792895711417,0.13639957024267546,0.14610572836749136,408072.8420562116,143,420176.7163112817,162,2022-07-31
SPY_TR,2021-12-31,174,155,19000.0,568601.6308461723,472938.9712348233,95662.65961134905,3.2678254646331744,3.0512191692569246,0.15133794593478433,0.1620082584450233,545077.6397584829,155,488186.29264736635,174,2023-07-31
SPY_TR,2022-12-31,186,167,19000.0,476694.40756297286,398418.77780258434,78275.62976038852,2.562873158940714,2.385741184446613,0.11341880320186526,0.11794334468770451,459151.24909628095,167,609313.2113204286,186,2024-07-31
SPY_TR,2023-12-31,198,179,19000.0,614851.3716165264,516086.46560642926,98764.90601009713,3.105309957659224,2.8831646123264205,0.1264279112745763,0.13207843814370923,592706.5292944517,179,720938.7419345982,198,2025-07-31
SPY_TR,2024-12-31,210,191,19000.0,780932.0675906285,657588.086031225,123343.98155940347,3.7187241313839454,3.442869560372906,0.1363356784351648,0.1425954837074983,758508.0111940679,191,874463.2010495638,210,2026-07-31
SPY_TR,2025-12-31,222,203,19000.0,932539.124913595,787339.7394109442,145199.38550265087,4.200626688799978,3.8785208837977545,0.1395338179996808,0.1456047527058999,910787.5974241515,203,889093.4999621705,212,2026-09-30
SPY_TR,2026-08-31,230,211,19000.0,1063092.1350868996,898898.2924177801,164193.84266911948,4.622139717769128,4.260181480652986,0.14262753586363686,0.14869402960430378,1040862.5937303263,211,889093.4999621705,212,2026-09-30
SPY_TR,2019-06-28,143,124,19000.0,290730.5615808308,237786.17914604335,52944.38243478743,2.0330808502155997,1.9176304769842205,0.11443177487888212,0.12252496395869406,271395.38755592244,124,356882.1384086733,143,2020-12-31
GSPC_PRICE_ONLY,2020-12-31,162,143,19000.0,367640.4519456474,309931.86063238414,57708.591313263285,2.2693855058373296,2.167355668757931,0.11511631082511253,0.124357556536423,344814.9864492427,143,359317.8637826821,162,2022-07-31
GSPC_PRICE_ONLY,2021-12-31,174,155,19000.0,479948.42332136096,406720.411361063,73228.01196029794,2.7583242719618446,2.624002653942342,0.13073929873089107,0.1410225122602462,456693.245646541,155,412793.31770944345,174,2023-07-31
GSPC_PRICE_ONLY,2022-12-31,186,167,19000.0,397985.01094172895,338994.5948113782,58990.41613035073,2.1397043599017684,2.029907753361546,0.09268169844644691,0.09692410585558187,380645.6363829899,167,510375.55910270463,186,2024-07-31
