,picking only (pref @100%),timing only (SPY @ stated w)
Total return,7.572760703478361,3.5576372811571764
CAGR,0.09123857069350017,0.06357849599692811
Sharpe,0.5848804945612749,0.6015981522502235
Sortino,0.766491822189845,0.6285477398250867
Volatility (ann.),0.1763357709732328,0.1132396227009248
Max drawdown,-0.5137317953232552,-0.49828475687259355
Calmar,0.17759961817447986,0.12759470387167493
Longest drawdown (bars),42.0,65.0
Final equity,8.57276070347836,4.557637281157176
