leg,n,mean_pct,median_pct,win_rate,t,draw_sd
A open->15:55 no stop,1924,6.7987380970266,2.4457648047252922,0.6013513513513513,9.947848901874414,
B random entry ->15:55 no stop,1924,1.0316835419285533,,,,0.14547969521772475
C random entry + 15min-low stop,1924,1.155743492276521,,,,0.2249240125182446
D REAL first-pullback + stop,1924,0.7324343229998892,-2.349168297455967,0.25571725571725573,1.5000514536691651,
