label,mean_bps_notional,breakeven_bps,cost_bps,median_risk_pct_notional,risk_pct_equity,implied_leverage,gross_pct_equity_per_trade,net_pct_equity_per_trade,trades_per_year,net_annual_pct,required_n_80pct_power
"risk 1% of equity, cost 0 bps",5.432076548382951,5.432076548382951,0.0,0.3633371625340071,1.0,2.752264571632976,0.14950511834512736,0.14950511834512736,107.34946004319656,16.049293728043622,911.7691519882907
"risk 1% of equity, cost 1 bps",5.432076548382951,5.432076548382951,1.0,0.3633371625340071,1.0,2.752264571632976,0.14950511834512736,0.12198247262879762,107.34946004319656,13.094752571435428,1369.6265051524406
"risk 1% of equity, cost 2 bps",5.432076548382951,5.432076548382951,2.0,0.3633371625340071,1.0,2.752264571632976,0.14950511834512736,0.09445982691246785,107.34946004319656,10.140211414827231,2284.034848666083
"risk 1% of equity, cost 3 bps",5.432076548382951,5.432076548382951,3.0,0.3633371625340071,1.0,2.752264571632976,0.14950511834512736,0.0669371811961381,107.34946004319656,7.185670258219036,4548.436932350146
"risk 1% of equity, cost 5 bps",5.432076548382951,5.432076548382951,5.0,0.3633371625340071,1.0,2.752264571632976,0.14950511834512736,0.011891889763478571,107.34946004319656,1.276587945002641,144110.38133563308
