picked_for,symbol,n_min,entry_rule,stop,target,direction_mode,n_is,mean_pct_is,t_is,breakeven_bps_is,n_oos,mean_pct_oos,t_oos,p_oos,breakeven_bps_oos,win_rate_oos
SPY,SPY,15,touch,atr10,eod,long_only,426,0.06111890328860175,2.7974484435626152,6.1118903288601745,296,-0.003580622032359511,-0.18548699974612043,0.852847076042536,-0.35806220323595106,0.19594594594594594
QQQ,QQQ,30,touch,atr10,2R,short_only,401,0.042928129666768504,2.782813709211894,4.29281296667685,266,0.0023460834198546407,0.14144809627818353,0.8875159608473202,0.23460834198546407,0.34962406015037595
TSLA,TSLA,30,touch,or,3R,long_short,835,0.2152289649398028,2.9370117036811245,21.52289649398028,543,0.20122465308167292,2.2868733169096402,0.022203218490373544,20.122465308167293,0.5101289134438306
NVDA,NVDA,5,close,or,eod,long_only,410,0.35372429306287234,3.5802289414428037,35.37242930628723,287,0.024662021758646863,0.23687849514092288,0.8127510536393405,2.4662021758646864,0.4250871080139373
ANY,NVDA,5,close,or,eod,long_only,410,0.35372429306287234,3.5802289414428037,35.37242930628723,287,0.024662021758646863,0.23687849514092288,0.8127510536393405,2.4662021758646864,0.4250871080139373
