variant,n,mean_R,win,t_R,mean_ret_pct,breakeven_bps
ALL trades,5917,0.11351795293816778,0.45850937975325334,4.669103232118879,0.05432076548382951,5.432076548382951
drop same-bar resolutions,5596,0.11130763019157319,0.46551107934238745,6.614193527660033,0.06045624997851383,6.045624997851383
