label,n,mean_pct,median_pct,std_pct,win_rate,total_pct,t,p,best,worst,avg_R,median_R,expectancy_R,pct_stopped,pct_target,pct_eod,mean_R_dollars,ma,vwap,fill,stop,target
ema|premkt|nextopen|atr|1R,1900,-0.38378799705393035,-1.641468612091307,5.167508614551719,0.4631578947368421,-729.1971944024676,-3.2373300553212365,0.0012065377835086544,22.48123271434217,-20.79207920792079,-0.07294580080193708,-1.0,-0.07294580080193708,0.5289473684210526,0.4573684210526316,0.01368421052631579,0.44240196240601504,ema,premkt,nextopen,atr,1R
ema|premkt|nextopen|atr|2R,1900,-0.36965756902747454,-2.6117683330851738,7.060475972248904,0.32421052631578945,-702.3493811522017,-2.2821407415574573,0.022481032318540706,42.50288924558588,-20.79207920792079,-0.06375903850051176,-1.0,-0.06375903850051176,0.66,0.28842105263157897,0.05157894736842105,0.44240196240601504,ema,premkt,nextopen,atr,2R
ema|premkt|nextopen|atr|3R,1900,-0.42605449304860876,-2.8382674454875967,8.223699099516248,0.26894736842105266,-809.5035367923566,-2.2582641426527656,0.02392919639680846,53.07119087235559,-21.25144462279294,-0.05653559041708653,-1.0,-0.05653559041708653,0.7073684210526315,0.19473684210526315,0.09789473684210526,0.44240196240601504,ema,premkt,nextopen,atr,3R
ema|premkt|nextopen|atr|eod,1900,-0.12375568704157705,-3.015137806731066,15.606816566376068,0.22473684210526315,-235.1358053789964,-0.3456428998242138,0.7296111014109137,233.39140534262484,-21.25144462279294,0.018447013532342394,-1.0,0.018447013532342394,0.7468421052631579,0.0,0.2531578947368421,0.44240196240601504,ema,premkt,nextopen,atr,eod
ema|premkt|nextopen|atr|trail,1900,-0.23925600414069556,-1.0683728720216168,6.079605500825694,0.3436842105263158,-454.58640786732155,-1.7153954208755844,0.08627275438595561,140.9239030612245,-20.79207920792079,-0.052051627405995525,-0.3419704992195908,-0.052051627405995525,0.9952631578947368,0.0,0.004736842105263158,0.44240196240601504,ema,premkt,nextopen,atr,trail
ema|premkt|nextopen|c20|1R,2007,-0.14830952919062898,-0.8588077172461461,3.4745316174672505,0.4653712007972098,-297.65722508559236,-1.9122579470559868,0.05584311684711585,9.828166519043414,-8.62068965517242,-0.06907847533632289,-1.0,-0.06907847533632289,0.5117090184354758,0.4479322371699053,0.04035874439461883,0.19999999999999976,ema,premkt,nextopen,c20,1R
ema|premkt|nextopen|c20|2R,2007,-0.19619704238384328,-1.3850415512465353,4.5816043528356705,0.3303437967115097,-393.7674640643735,-1.9184414963623722,0.05505505361721519,16.806722689075638,-8.62068965517242,-0.05937867463876437,-1.0,-0.05937867463876437,0.6372695565520677,0.2815146985550573,0.08121574489287493,0.19999999999999976,ema,premkt,nextopen,c20,2R
ema|premkt|nextopen|c20|3R,2007,-0.1729339278813059,-1.5822784810126556,5.354540137723593,0.27204783258594917,-347.07839325778093,-1.4468773352673285,0.14793128201197625,23.809523809523835,-8.62068965517242,-0.05271748878923772,-1.0,-0.05271748878923772,0.693074240159442,0.19581464872944693,0.1111111111111111,0.19999999999999976,ema,premkt,nextopen,c20,3R
ema|premkt|nextopen|c20|eod,2007,0.2048041718299958,-1.7467248908296873,11.981035805449848,0.18883906327852515,411.0419728628016,0.76580486162314,0.44379242104388483,209.99999999999997,-14.037854889589896,0.29087917289486986,-1.0,0.29087917289486986,0.772795216741405,0.0,0.22720478325859492,0.19999999999999976,ema,premkt,nextopen,c20,eod
ema|premkt|nextopen|c20|trail,2007,-0.13347999458129683,-0.7304601899196461,3.3292151073381717,0.3721973094170404,-267.89434912466277,-1.7961723634142104,0.07246710859057504,25.286448044251287,-8.405172413793094,-0.021154957648229993,-0.3749999999999978,-0.021154957648229993,0.9730941704035875,0.0,0.026905829596412557,0.19999999999999976,ema,premkt,nextopen,c20,trail
ema|premkt|nextopen|pullback|1R,1375,0.23344425328576704,-0.1458434613514914,5.89863817143859,0.4749090909090909,320.98584826792967,1.4675157788300581,0.14223580011490267,42.89285714285713,-30.116758241758255,-0.03866624317031286,-0.5875843960990237,-0.03866624317031286,0.49018181818181816,0.4552727272727273,0.05454545454545454,0.4551146181818182,ema,premkt,nextopen,pullback,1R
ema|premkt|nextopen|pullback|2R,1375,0.26686264153594896,-0.8291873963515717,8.062892245840832,0.3461818181818182,366.93613211192985,1.2272930470093784,0.21971246797695754,84.00000000000001,-30.116758241758255,-0.010522007536434664,-1.0,-0.010522007536434664,0.6087272727272727,0.288,0.10327272727272727,0.4551146181818182,ema,premkt,nextopen,pullback,2R
ema|premkt|nextopen|pullback|3R,1375,0.3959114964892377,-1.071080817916259,10.12990011971166,0.288,544.3783076727018,1.4492533028898413,0.1472668567663118,126.00000000000003,-30.116758241758255,-0.00024075648984475865,-1.0,-0.00024075648984475865,0.6654545454545454,0.20145454545454544,0.1330909090909091,0.4551146181818182,ema,premkt,nextopen,pullback,3R
ema|premkt|nextopen|pullback|eod,1375,0.9282751429759203,-1.2961397576782163,19.79947262747595,0.20872727272727273,1276.3783215918904,1.73849900966381,0.08212292444099845,531.7073170731708,-30.116758241758255,0.45694197306344936,-1.0,0.45694197306344936,0.7447272727272727,0.0,0.25527272727272726,0.4551146181818182,ema,premkt,nextopen,pullback,eod
ema|premkt|nextopen|pullback|trail,1375,0.1936475268274046,-0.3859513701273687,6.986307887893441,0.36872727272727274,266.26534938768134,1.0278164937275949,0.30403615619284863,100.69398513312078,-26.111111111111107,0.02979044959474958,-0.39088122605363956,0.02979044959474958,0.9629090909090909,0.0,0.03709090909090909,0.4551146181818182,ema,premkt,nextopen,pullback,trail
ema|premkt|trigger|atr|1R,1869,-1.7972343476914951,-2.7444662005545073,4.639070534810922,0.2974852862493312,-3359.0309958354046,-16.748595150479932,0.0,13.503279019873805,-17.927663734115352,-0.4210220860454184,-1.0,-0.4210220860454184,0.6982343499197432,0.29373996789727125,0.008025682182985553,0.43288731177864403,ema,premkt,trigger,atr,1R
