draw_mean_R,draw_win_rate
-0.12680574885592083,0.3488254182862937
-0.1665683293451427,0.3339530167314517
-0.15463840946369567,0.3402061855670103
-0.16420162038287683,0.3361500760520534
-0.1644355159470674,0.3363190806151766
-0.18142304144975982,0.33479803954706777
-0.17632500247337013,0.3346290349839446
-0.18215485346274402,0.33378401216832854
-0.1750338666935588,0.3327699847895893
-0.1788437884942398,0.3282068615852628
-0.18258713070014873,0.3327699847895893
-0.17164387194207406,0.3324319756633429
-0.1495697610933252,0.34138921750887274
-0.17392774422106735,0.32955889809024846
-0.1852472037958451,0.32905188440087885
-0.15149183406642389,0.342403244887612
-0.1773723856439652,0.34189623119824236
-0.15256792425658455,0.34595234071319925
-0.17008344805004835,0.3429102585769816
-0.17821945172282327,0.33057292546898764
-0.1815767639272336,0.3320939665370965
-0.16299185078173553,0.3391921581882711
-0.18585356555936342,0.3309109345952341
-0.1773567693440448,0.3309109345952341
-0.1831777277549536,0.32989690721649484
-0.17471392074917186,0.3332769984789589
-0.16649278482530605,0.33817813080953185
-0.159716461945557,0.33733310799391586
-0.16263909448492117,0.33361500760520535
-0.18859211158436642,0.32465776575967553
-0.17087712447479214,0.3288828798377556
-0.1850278974820694,0.32634781139090757
-0.162745879669793,0.33446003042082134
-0.17103204267225453,0.33175595741085007
-0.1875136945065214,0.3312489437214805
-0.13963907767131287,0.34189623119824236
-0.15964641105805255,0.3408822038195031
-0.14701185221769206,0.3398681764407639
-0.15961224077561922,0.3356430623626838
-0.17891102203722287,0.3309109345952341
-0.18710471969754486,0.32719283420652356
-0.19714747223440346,0.32398174750718267
-0.17213245533492327,0.3364880851782998
-0.16278439172174092,0.34274125401385835
-0.17706805332011644,0.32972790265337165
-0.15590374849481214,0.33479803954706777
-0.17952790308389183,0.33429102585769815
-0.1638933881357271,0.33446003042082134
-0.18596719213411245,0.3326009802264661
-0.19004276327490383,0.3273618387696468
-0.12268364745889797,0.34950143653878657
-0.18421575877021504,0.32668582051715395
-0.1618796942240213,0.3353050532364374
-0.1601507998135688,0.3378401216832854
-0.17948925433681656,0.32955889809024846
-0.17232124200018345,0.33344600304208216
-0.19580353658791735,0.3248267703227987
-0.18167471081056005,0.32922088896400203
-0.17815535207281574,0.3359810714889302
-0.15130389080732543,0.33834713537265504
-0.15589502298524774,0.33361500760520535
-0.1844200936254735,0.3332769984789589
-0.12353897294565877,0.3479803954706777
-0.17533820361073485,0.3307419300321109
-0.18089127492557333,0.33040392090586446
-0.17636308840237377,0.33344600304208216
-0.1640054590945154,0.3395301673145175
-0.1653236713671144,0.3371641034307926
-0.15534113185296325,0.3417272266351192
-0.17638831787759798,0.33817813080953185
-0.16529527652314008,0.33429102585769815
-0.17125460960909242,0.335812066925807
-0.1574697125039776,0.3390231536251479
-0.16552947450325847,0.3326009802264661
-0.17817293045766136,0.330065911779618
-0.18868069721382022,0.32651681595403076
-0.16319257803539233,0.3339530167314517
-0.15562494324105838,0.33429102585769815
-0.20844220984977818,0.32212269731282744
-0.14910623178466328,0.34612134527632243
-0.164597865971739,0.33378401216832854
-0.15745262556766856,0.33885414906202466
